Question,Answers,base_response,synonyms,synonym_responses,generated_samples,antonyms,antonym_responses,selfcheck_score
VIVA Media AG changed it's name in 2004. What does their new acronym stand for?,Gesellschaft mit beschränkter Haftung,The new acronym for VIVA Media AG after changing its name in 2004 stands for VIVA Entertainment AG.,"1. The new acronym for VIVA Media AG post its 2004 rebranding is VIVA Entertainment AG.;2. VIVA Media AG altered its name in 2004, leading to the new acronym VIVA Entertainment AG.;3. Post the 2004 name change, VIVA Media AG is now known as VIVA Entertainment AG.;4. Following the 2004 rebranding, the acronym for VIVA Media AG was changed to VIVA Entertainment AG.;5. VIVA Media AG modified its name in 2004 and adopted the new acronym VIVA Entertainment AG.",NO;YES;YES;NO;YES,"VIVA Media AG changed its name in 2004 to VIVA Media Group, where VIVA stands for ""Videoverwertungsanstalt."";The new acronym for VIVA Media AG after changing its name in 2004 stands for ""Vereinigte Video- und Filmanstalten"".;VIVA Media AG changed its name to VSG - Video Services Germany in 2004.;VIVA Media AG changed its name in 2004 to MTV Networks Germany, with the acronym ""MTV"" standing for ""Music Television."";Their new acronym stands for ""VIA"" - Value in Action.;VIVA Media AG changed its name in 2004, and their new acronym stands for ""Vereinigte Interessengemeinschaft Videounterhaltungsanbieter."";The new name of VIVA Media AG, changed in 2004, stands for ""VIVA Entertainment AG."";VIVA Media AG changed its name in 2004 to VHM Medien AG; the acronym stands for Verwaltung, Handel und Medien.;The new acronym for VIVA Media AG after changing its name in 2004 is ""MTV Deutschland"".;The new acronym for VIVA Media AG after changing its name in 2004 stands for VIVA Entertainment AG.",1. The new acronym for VIVA Media AG after changing its name in 2004 does not stand for VIVA Entertainment AG.;2. VIVA Entertainment AG is not the new acronym for VIVA Media AG after changing its name in 2004.;3. The new name of VIVA Media AG in 2004 does not stand for VIVA Entertainment AG.;4. VIVA Media AG did not change its name to VIVA Entertainment AG in 2004.;5. The new acronym for VIVA Media AG after 2004 does not represent VIVA Entertainment AG.,YES;YES;YES;YES;YES,1.0
Which of Jonny Craig and Pete Doherty has been a member of more bands ?,"Jonny"" Craig",Jonny Craig has been a member of more bands than Pete Doherty.,1. Jonny Craig has been a part of a greater number of bands compared to Pete Doherty.;2. Jonny Craig's band membership surpasses that of Pete Doherty.;3. More bands have featured Jonny Craig than Pete Doherty.;4. Jonny Craig's band history outweighs Pete Doherty's in terms of quantity.;5. Bands have welcomed Jonny Craig into their ranks more frequently than Pete Doherty.,NOT SURE;NO;NOT SURE;YES;NOT SURE,Jonny Craig has been a member of more bands than Pete Doherty.;Jonny Craig has been a member of more bands than Pete Doherty.;Jonny Craig has been a member of more bands compared to Pete Doherty.;Jonny Craig has been a member of more bands than Pete Doherty.;Jonny Craig has been a member of more bands than Pete Doherty.;Jonny Craig has been a member of more bands than Pete Doherty.;Jonny Craig has been a member of more bands compared to Pete Doherty.;Jonny Craig has been a member of more bands than Pete Doherty.;Jonny Craig has been a member of more bands than Pete Doherty.;Jonny Craig has been a member of more bands than Pete Doherty.,1. Pete Doherty has been a member of more bands than Jonny Craig.;2. Jonny Craig has not been a member of more bands than Pete Doherty.;3. Pete Doherty has not been a member of fewer bands than Jonny Craig.;4. Jonny Craig has been a member of fewer bands than Pete Doherty.;5. More bands have had Pete Doherty as a member compared to Jonny Craig.,NO;NOT SURE;NO;NO;YES,0.0
Where was the first governor after the The Missouri Compromise from?,"Bath, Maine",The first governor after the Missouri Compromise was from Maine.,1. The initial governor subsequent to the Missouri Compromise hailed from Maine.;2. Maine was the origin of the first governor following the Missouri Compromise.;3. The inaugural governor post the Missouri Compromise originated from Maine.;4. The first governor to hold office after the Missouri Compromise came from Maine.;5. From Maine emerged the first governor following the Missouri Compromise.,YES;NOT SURE;NO;YES;YES,"The first governor after The Missouri Compromise was from the state of Missouri.;The first governor after the Missouri Compromise was from Maine, which became a separate state from Massachusetts as part of the compromise.;The first governor after the Missouri Compromise was from Missouri.;The first governor after the Missouri Compromise was from Maine.;The first governor after the Missouri Compromise was from Maine.;The first governor after the Missouri Compromise was from Missouri.;The first governor after the Missouri Compromise was Thomas Tompkins from New York.;The first governor after the Missouri Compromise was from the state of New Hampshire.;The first governor after The Missouri Compromise was from Maine.;The first governor after the Missouri Compromise was from Maine.",1. The first governor after the Missouri Compromise was not from Maine.;2. Maine was not the birthplace of the first governor after the Missouri Compromise.;3. The first governor after the Missouri Compromise did not originate from Maine.;4. The first governor after the Missouri Compromise did not hail from Maine.;5. The first governor after the Missouri Compromise was not a native of Maine.,NO;YES;YES;NO;YES,0.5
"The creator of ""Wallace and Gromit"" also created what animation comedy that matched animated zoo animals with a soundtrack of people talking about their homes? ",Creature Comforts,"Nick Park, the creator of ""Wallace and Gromit,"" also created the animation comedy ""Creature Comforts"" which featured animated zoo animals speaking with recorded interviews discussing their homes.","1. Nick Park, known for ""Wallace and Gromit,"" also produced the animated comedy ""Creature Comforts"" where zoo animals converse about living spaces.;2. ""Creature Comforts,"" an animated comedy by Nick Park, pairs zoo animals with human voices discussing their living arrangements, similar to ""Wallace and Gromit."";3. The animation ""Creature Comforts,"" by Nick Park of ""Wallace and Gromit"" fame, showcases zoo animals chatting about their habitats using real interviews as the soundtrack.;4. Nick Park, renowned for ""Wallace and Gromit,"" ventured into animation comedy with ""Creature Comforts,"" featuring zoo animals narrating about their habitats through human interviews.;5. In ""Creature Comforts,"" an animated comedy by Nick Park, zoo animals are depicted discussing their living situations using recordings of people sharing about their homes, a concept akin to ""Wallace and Gromit.""",YES;YES;YES;YES;YES,"Nick Park, the creator of ""Wallace and Gromit,"" also created the animation comedy ""Creature Comforts"" which paired animated zoo animals with dialogue from real people discussing their homes.;""Nick Park, the creator of ""Wallace and Gromit,"" also created the animation comedy ""Creature Comforts"" which matched animated zoo animals with a soundtrack of people talking about their homes."";Nick Park, the creator of ""Wallace and Gromit,"" also created the animation comedy ""Creature Comforts"" which matched animated zoo animals with a soundtrack of people talking about their homes.;The creator of ""Wallace and Gromit,"" Nick Park, also created the animation comedy ""Creature Comforts"" which matched animated zoo animals with a soundtrack of people talking about their homes.;Nick Park, the creator of ""Wallace and Gromit,"" also created ""Creature Comforts,"" an animation comedy that matched animated zoo animals with a soundtrack of people talking about their homes.;Nick Park, the creator of ""Wallace and Gromit,"" also created the animation comedy ""Creature Comforts"" which matched animated zoo animals with a soundtrack of people talking about their homes.;Nick Park, the creator of ""Wallace and Gromit,"" also created the animation comedy ""Creature Comforts"" where animated zoo animals are matched with a soundtrack of people talking about their homes.;Nick Park, the creator of ""Wallace and Gromit,"" also created the animation comedy ""Creature Comforts"" which featured animated zoo animals with a soundtrack of people discussing their homes.;Nick Park, the creator of ""Wallace and Gromit,"" also created the animation comedy ""Creature Comforts"" that featured animated zoo animals lip-syncing to recordings of real people discussing their homes.;Nick Park, the creator of ""Wallace and Gromit,"" also created the animation comedy ""Creature Comforts"" which featured animated zoo animals speaking with recorded interviews discussing their homes.","1. Nick Park, the creator of ""Wallace and Gromit,"" did not create the animation comedy ""Creature Comforts."";2. ""Creature Comforts"" was not created by the same person who created ""Wallace and Gromit."";3. The animation comedy ""Creature Comforts"" did not feature animated zoo animals speaking with recorded interviews discussing their homes.;4. The creator of ""Wallace and Gromit"" did not make the animation comedy ""Creature Comforts."";5. ""Creature Comforts"" did not match animated zoo animals with a soundtrack of people talking about their homes.",NO;YES;NO;NO;YES,0.0
Woman's Era and Naj are what kind of magazines?,fortnightly women interest magazine,"Woman's Era and Naj are both magazines aimed at women that cover topics such as fashion, lifestyle, and relationships.","1. Woman's Era and Naj are magazines targeted at women, focusing on fashion, lifestyle, and relationships.;2. Woman's Era and Naj are publications directed towards the female audience, delving into fashion, lifestyle, and relationships.;3. Woman's Era and Naj are both women-centric magazines that delve into topics including fashion, lifestyle, and relationships.;4. Woman's Era and Naj are magazines tailored for women, covering areas like fashion, lifestyle, and relationships.;5. Woman's Era and Naj cater to a female readership, discussing topics such as fashion, lifestyle, and relationships.",YES;YES;YES;YES;YES,"Woman's Era and Naj are both magazines that focus on women's interests and lifestyle.;Woman's Era and Naj are magazines that primarily focus on topics related to women's interests and lifestyle.;They are both women's lifestyle magazines.;Woman's Era and Naj are women's lifestyle magazines with a focus on fashion, health, relationships, and entertainment.;Both Woman's Era and Naj are magazines that cover topics related to fashion, lifestyle, relationships, and women's interests.;Woman's Era and Naj are magazines that focus on women's interests and provide articles and content relevant to women's lifestyle, fashion, and wellbeing.;Woman's Era and Naj are magazines focusing on women's lifestyle and content tailored for Middle Eastern expatriates, respectively.;Woman's Era and Naj are magazines focusing on women's interests and lifestyle.;Woman's Era and Naj are both women's magazines.;Woman's Era and Naj are both magazines aimed at women that cover topics such as fashion, lifestyle, and relationships.","1. Woman's Era and Naj are not magazines aimed at women.;2. Both Woman's Era and Naj do not cover topics like fashion, lifestyle, and relationships.;3. Woman's Era and Naj are not both magazines tailored for women.;4. These magazines do not focus on topics such as fashion, lifestyle, and relationships.;5. Woman's Era and Naj are not magazines targeted towards women.",NO;NO;NO;NOT SURE;NO,0.1
The Rome Protocols were signed by three Prime Ministers one of which was assassinated as part of what?,a failed coup attempt,"The Rome Protocols were signed by three Prime Ministers, one of whom was assassinated as part of the conspiracy to establish a European federal system.","1. The Rome Protocols were agreed upon by three Prime Ministers, one of whom fell victim to the plot aiming to institute a European federal system.;2. Establishing a European federal system involved the assassination of one Prime Minister who was part of the trio that signed the Rome Protocols.;3. One of the Prime Ministers who endorsed the Rome Protocols was assassinated in connection with the initiative to create a European federal system.;4. The conspiracy to implement a European federal system included the assassination of a Prime Minister who was a signatory to the Rome Protocols.;5. The endorsement of the Rome Protocols by three Prime Ministers led to the assassination of one of them as part of the plan to establish a European federal system.",YES;NO;NOT SURE;NO;NO,"The Rome Protocols were signed by three Prime Ministers one of which, Aldo Moro, was assassinated as part of the Years of Lead in Italy, a period of political turmoil characterized by terrorism and violence in the 1970s and 1980s.;The Rome Protocols were signed by three Prime Ministers, one of whom was assassinated as part of the Decimation Purges.;The Rome Protocols were signed by three Prime Ministers, one of which was assassinated as part of the conspiracy orchestrated by Serbian nationalists to trigger World War I.;The Rome Protocols were signed by three Prime Ministers, one of whom was assassinated as part of the 1898 Supreme Court bombing conspiracy in Greece.;The Rome Protocols were signed by three Prime Ministers, one of whom was assassinated as part of the Munich Massacre during the 1972 Summer Olympics in Munich, Germany.;The Rome Protocols were signed by three Prime Ministers, one of whom was assassinated as part of the Munich Agreement aftermath in 1938.;The Rome Protocols were signed by three Prime Ministers, one of whom was assassinated as part of the 1978 Aldo Moro kidnapping by the Red Brigades terrorist group in Italy.;The Rome Protocols were signed by three Prime Ministers, one of which was assassinated as part of the Brigate Rosse terrorist group's campaign against political leaders in Italy during the ""Years of Lead."";The Rome Protocols were signed by three Prime Ministers, one of whom was assassinated as part of the Red Brigades terrorist organization in 1978.;The Rome Protocols were signed by three Prime Ministers, one of whom was assassinated as part of the conspiracy to establish a European federal system.","1. The Rome Protocols were not signed by three Prime Ministers, one of whom was not assassinated as part of the conspiracy to establish a European federal system.;2. The Rome Protocols were signed by three Prime Ministers, none of whom was assassinated as part of the conspiracy to establish a European federal system.;3. The Rome Protocols were not signed by three Prime Ministers, and none of them was assassinated as part of the conspiracy to establish a European federal system.;4. The Rome Protocols were not signed by three Prime Ministers, one of whom was assassinated for reasons unrelated to the conspiracy to establish a European federal system.;5. The Rome Protocols were signed by three Prime Ministers, one of whom was assassinated, but it wasn't part of the conspiracy to establish a European federal system.",NO;YES;YES;YES;NOT SURE,1.0
Jaclyn Stapp is married to the former frontman of a band that disbanded in what year?,2004,Jaclyn Stapp is married to the former frontman of a band that disbanded in 2004.,"1. Jaclyn Stapp is wed to the ex-lead singer of a band that broke up in the year 2004.;2. The husband of Jaclyn Stapp was the frontman of a band that dissolved in 2004.;3. The former frontman of a band that ended in 2004 is the spouse of Jaclyn Stapp.;4. Jaclyn Stapp's partner led a band that disbanded in the year 2004.;5. In 2004, the band led by Jaclyn Stapp's husband ceased to exist.",NO;YES;NO;NO;YES,"Jaclyn Stapp is married to the former frontman of a band that disbanded in 2004.;Jaclyn Stapp is married to the former frontman of a band that disbanded in 2004.;Jaclyn Stapp is married to the former frontman of a band that disbanded in 2004.;Jaclyn Stapp is married to the former frontman of a band that disbanded in 2001.;Jaclyn Stapp is married to the former frontman of the band Creed, which disbanded in 2004.;Jaclyn Stapp is married to the former frontman of a band that disbanded in 2004.;Jaclyn Stapp is married to the former frontman of a band that disbanded in 2004.;Jaclyn Stapp is married to the former frontman of the band that disbanded in 2004.;Jaclyn Stapp is married to the former frontman of a band that disbanded in 2004.;Jaclyn Stapp is married to the former frontman of a band that disbanded in 2004.",1. Jaclyn Stapp is not married to the former frontman of a band that disbanded in 2004.;2. The former frontman of a band that disbanded in 2004 is not married to Jaclyn Stapp.;3. Jaclyn Stapp is not married to the former frontman of a band that disbanded in 2004.;4. The band whose former frontman married Jaclyn Stapp did not disband in 2004.;5. The former frontman of a band that Jaclyn Stapp is married to did not leave the band in 2004.,YES;YES;YES;NO;NO,0.1
 If You Ever Get Lonely was covered by what Lyric Street Records-affiliated band?,Love and Theft,"Rascal Flatts, a band affiliated with Lyric Street Records, covered ""If You Ever Get Lonely.""","1. A musical group linked to Lyric Street Records, Rascal Flatts, performed a rendition of ""If You Ever Get Lonely."";2. The band Rascal Flatts, associated with the record label Lyric Street Records, covered the song ""If You Ever Get Lonely."";3. If You Ever Get Lonely was covered by the band Rascal Flatts, who are part of the Lyric Street Records label.;4. Rascal Flatts, a group connected with Lyric Street Records, recorded their version of ""If You Ever Get Lonely."";5. The song ""If You Ever Get Lonely"" was covered by Rascal Flatts, a band signed with Lyric Street Records.",YES;YES;YES;YES;YES,"Rascal Flatts, a Lyric Street Records-affiliated band, covered the song ""If You Ever Get Lonely."";Rascal Flatts, a band affiliated with Lyric Street Records, covered the song If You Ever Get Lonely.;One Lyric Street Records-affiliated band that covered ""If You Ever Get Lonely"" is Love And Theft.;Rascal Flatts was the Lyric Street Records-affiliated band that covered ""If You Ever Get Lonely."";Rascal Flatts, an American country band affiliated with Lyric Street Records, covered ""If You Ever Get Lonely."";Rascal Flatts, a Lyric Street Records-affiliated band, covered ""If You Ever Get Lonely."";Rascal Flatts, an American country music group, covered ""If You Ever Get Lonely,"" originally a song by Love and Theft, which was released as a single under Lyric Street Records.;Rascal Flatts, an affiliated band with Lyric Street Records, covered ""If You Ever Get Lonely."";Rascal Flatts, a Lyric Street Records-affilated band, covered ""If You Ever Get Lonely."";Rascal Flatts, a band affiliated with Lyric Street Records, covered ""If You Ever Get Lonely.""","1. Rascal Flatts, a band affiliated with Lyric Street Records, did not cover ""If You Ever Get Lonely."";2. ""If You Ever Get Lonely"" was not covered by a band affiliated with Lyric Street Records like Rascal Flatts.;3. A band affiliated with Lyric Street Records other than Rascal Flatts covered ""If You Ever Get Lonely."";4. ""If You Ever Get Lonely"" was not covered by Rascal Flatts who are associated with Lyric Street Records.;5. Rascal Flatts, despite their affiliation with Lyric Street Records, did not cover ""If You Ever Get Lonely.""",YES;YES;NOT SURE;NO;NOT SURE,0.0
When was the  Argentine former footballer which  Dutch manager Ronald Koeman replaced in  2014-15 Southampton F.C. season born,2-Mar-72,"The Argentine former footballer who Dutch manager Ronald Koeman replaced in the 2014-15 Southampton F.C. season was born on August 27, 1959.","1. The birth of the Argentine ex-footballer whom Dutch manager Ronald Koeman substituted during the 2014-15 Southampton F.C. season occurred on August 27, 1959.;2. August 27, 1959, was the date of birth of the South American former soccer player that Dutch coach Ronald Koeman took over from in the 2014-15 Southampton F.C. season.;3. The Argentine ex-footballer, supplanted by Dutch manager Ronald Koeman for the 2014-15 Southampton F.C. season, entered the world on August 27, 1959.;4. The South American footballer from the 2014-15 Southampton F.C. season, ousted by Dutch manager Ronald Koeman, was born on August 27, 1959.;5. August 27, 1959, marks the birthdate of the Argentine former footballer who was replaced by Dutch manager Ronald Koeman during the 2014-15 Southampton F.C. season.",NO;YES;NO;NO;NO,"The Argentine former footballer whom Dutch manager Ronald Koeman replaced in the 2014-15 Southampton F.C. season was born on June 15, 1985.;The Argentine former footballer whom Dutch manager Ronald Koeman replaced in the 2014-15 Southampton F.C. season was born on June 10, 1984.;The Argentine former footballer whom Dutch manager Ronald Koeman replaced in the 2014-15 Southampton F.C. season was born on November 22, 1976.;The Argentine former footballer that Dutch manager Ronald Koeman replaced in the 2014-15 Southampton F.C. season was born in 1979.;The Argentine former footballer replaced by Dutch manager Ronald Koeman in the 2014-15 Southampton F.C. season was born in 1976.;The Argentine former footballer that Dutch manager Ronald Koeman replaced in the 2014-15 Southampton F.C. season was born in 1973.;The Argentine former footballer whom Dutch manager Ronald Koeman replaced in the 2014-15 Southampton F.C. season was born in 1954.;The Argentine former footballer whom Dutch manager Ronald Koeman replaced in the 2014-15 Southampton F.C. season was born on October 14, 1987.;The Argentine former footballer, whom Dutch manager Ronald Koeman replaced in the 2014-15 Southampton F.C. season, was born in 1984.;The Argentine former footballer who Dutch manager Ronald Koeman replaced in the 2014-15 Southampton F.C. season was born on August 27, 1959.","1. The Argentine former footballer who Dutch manager Ronald Koeman replaced in the 2014-15 Southampton F.C. season was not born on August 27, 1959.;2. The Argentine former footballer who Dutch manager Ronald Koeman replaced in the 2014-15 Southampton F.C. season was not born in 1959.;3. The Argentine former footballer who Dutch manager Ronald Koeman replaced in the 2014-15 Southampton F.C. season was born on a date other than August 27, 1959.;4. The Argentine former footballer who Dutch manager Ronald Koeman replaced in the 2014-15 Southampton F.C. season was not born in August 1959.;5. The Argentine former footballer who Dutch manager Ronald Koeman replaced in the 2014-15 Southampton F.C. season was born before August 27, 1959.",NOT SURE;YES;NO;YES;NOT SURE,0.9
"Which character does this protagonist, who secretly loves and marries a member of the rival house, of William Shakespeare's tragedy that has a fictional character Benvolio slay?",Tybalt,"The character that Benvolio slays in William Shakespeare's tragedy, where the protagonist secretly loves and marries a member of the rival house, is Tybalt.","1. Tybalt is the individual Benvolio kills in William Shakespeare's tragic tale, wherein the main character clandestinely adores and weds someone from the opposing household.;2. In William Shakespeare's play, Tybalt is the character whom Benvolio takes down, amidst the protagonist's hidden affections and marriage to a rival family member.;3. Benvolio's victim in the Shakespearean tragedy, where the main figure harbors secret love and marries an adversary, is Tybalt.;4. Within the Shakespearean narrative depicting a protagonist's covert affection and marriage to a rival member, Benvolio's sword falls upon Tybalt.;5. Tybalt meets his end in the tragedy by William Shakespeare, involving a protagonist who secretly loves and ties the knot with a member from the opposing side.",NO;NO;NO;NO;NO,"Benvolio slays Tybalt, the character from Romeo and Juliet by William Shakespeare, who secretly loves and marries Juliet from the rival Capulet house.;Romeo, the protagonist of William Shakespeare's tragedy ""Romeo and Juliet,"" is secretly in love with and marries Juliet, a member of the rival house, leading to a fatal confrontation where Benvolio ends up killing Tybalt in a fight.;Romeo, the protagonist, is famously killed by Benvolio in William Shakespeare's tragedy ""Romeo and Juliet"".;In William Shakespeare's ""Romeo and Juliet,"" Benvolio slays Tybalt, who is the cousin of Juliet, the protagonist who secretly loves and marries Romeo from the rival house.;Benvolio slays Tybalt, a member of the Capulet house, in William Shakespeare's tragedy ""Romeo and Juliet"", whose protagonist secretly loves and marries Juliet, a member of the rival Montague house.;Romeo, the protagonist of William Shakespeare's tragedy ""Romeo and Juliet,"" is killed by Benvolio.;Benvolio slays Tybalt, the cousin of Juliet, in William Shakespeare's tragedy ""Romeo and Juliet,"" where Romeo secretly loves and marries Juliet, a member of the rival Capulet house.;Benvolio slays Tybalt, Juliet's cousin, in William Shakespeare's tragedy ""Romeo and Juliet"" where the protagonist secretly loves and marries Juliet from the rival Capulet house.;The protagonist, Romeo, gets killed in a duel by Benvolio, a fictional character in William Shakespeare's tragedy.;The character that Benvolio slays in William Shakespeare's tragedy, where the protagonist secretly loves and marries a member of the rival house, is Tybalt.","1. Benvolio does not slay Tybalt in William Shakespeare's tragedy where the protagonist secretly loves and marries a member of the rival house.;2. Tybalt is not the character that Benvolio slays in William Shakespeare's tragedy where the protagonist secretly loves and marries a member of the rival house.;3. In William Shakespeare's tragedy, the character that Benvolio slays is not Tybalt, where the protagonist secretly loves and marries a member of the rival house.;4. The protagonist in William Shakespeare's tragedy does not secretly love and marry a member of the rival house in which Benvolio slays Tybalt.;5. Benvolio does not slay Tybalt in a Shakespearean tragedy where the protagonist secretly loves and marries a member of the rival house.",YES;YES;NO;NO;YES,1.0
