Questions,Answers,extended_answer
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,Guns N Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective in 1999.
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","Brown State Fishing Lake is in a country that has a population of 9,984 inhabitants."
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,Badly Drawn Boy has a higher instrument to person ratio compared to Wolf Alice.
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,"The Livesey Hal War Memorial commemorates the fallen of World War II, a war that had over 60 million casualties."
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with Max Martin, Savan Kotecha, and Ilya Salmanzadeh, who are all talented writers, on her third studio album, Delirium."
"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,"Based on a True Story... is an album by country music star Blake Shelton, with the single My Eyes."
Were the bands Skin Yard and Ostava from the U.S.?,no,"No, neither Skin Yard nor Ostava were from the U.S."
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,"The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount in the 2017 film titled ""The Bye Bye Man."""
When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,"The palace, at which Columba de Dunbar died in 1435, was founded in the late 12th Century."
The author of Sexual Politics attended which British University?,Oxford,"The author of Sexual Politics attended Oxford, one of the most prestigious universities in Britain."
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",Roberta Vinci,Roberta Vinci had the best singles ranking between her and Jorge Lozano.
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""","The song ""We'll Burn That Bridge"" was behind the third single on the album ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts."
"Which came out first, Dinosaur or McFarland, USA",Dinosaur,"Dinosaur came out first before McFarland, USA."
Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?,Wichita,"Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in Wichita, Kansas."
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,"48,982","The Memphis Hustle are based in a suburb of a city with a population of 48,982 in 2010."
Are both Dafeng District and Dazhou located in the same province?,no,"No, both Dafeng District and Dazhou are not located in the same province."
"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?",Starlite,"A hairdresser from Yorkshire, England invented a material called Starlite, which was named by his granddaughter."
One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,Hong Kong,One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the world outside North America until it was succeeded by a building in Hong Kong.
