id,split,question,effective_year,next_review,false_premise,num_hops,fact_type,source,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,note
58,TEST,When did President Joe Biden announce his second presidential campaign this year?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/Joe_Biden_2024_presidential_campaign#:~:text=He%20made%20a%20second%20attempt%20during%20the%202008%20Democratic%20Party%20presidential%20primaries.,He made his second presidential campaign during the 2008 Democratic Party presidential primaries already.,,,,,,,,,,
59,TEST,Who won the FIFA Ballon d'Or last year?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/FIFA_Ballon_d%27Or#:~:text=The%20final%20FIFA%20Ballon%20d%27Or%20was%20presented%20to%20Messi%20in%202015.%20Its%20awarding%20bodies%20subsequently%20ended%20their%20partnership,There was no FIFA Ballon d'Or award last year. The final FIFA Ballon d'Or was presented to Messi in 2015.,,,,,,,,,,
60,TEST,Will there be 29 days in February in the leap year of 2500?,before 2022,,TRUE,one-hop,never-changing,https://www.timeanddate.com/date/leapyear.html#:~:text=According%20to%20these%20rules%2C%20the%20years%202000%20and%202400%20are%20leap%20years%2C%0Awhile%201800%2C%201900%2C%202100%2C%202200%2C%202300%2C%20and%202500%20are%20not%20leap%20years.,2500 is not a leap year.,,,,,,,,,,
61,TEST,How many home runs did Benjamin Ruth hit in the MLB?,before 2022,,TRUE,one-hop,never-changing,,Benjamin Ruth is not a baseball player in the MLB.,,,,,,,,,,
62,TEST,When did Lance Armstrong land on the moon?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/Lance_Armstrong#:~:text=Lance%20Edward%20Armstrong%20(n%C3%A9%20Gunderson%3B%20born%20September%2018%2C%201971)%5B4%5D%20is%20an%20American%20former%20professional%20road%20racing%20cyclist.,Lance Armstrong is not an astronaut.,,,,,,,,,,
63,TEST,On what date did the 1944 German spelling reform go into effect in schools across the country?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/German_orthography_reform_of_1944#:~:text=Although%20one%20million%20copies%20of%20the%20new%20rules%20were%20printed%20by%201944%20for%20school%20use%2C%20the%20reform%20was%20never%20introduced.,The reform was never introduced.,,,,,,,,,,
64,TEST,How many times have the New York Jets lost to the Chicago Bulls?,before 2022,,TRUE,one-hop,never-changing,"https://en.wikipedia.org/wiki/New_York_Jets#:~:text=The%20New%20York%20Jets%20are%20a%20professional%20American%20football%20team
https://en.wikipedia.org/wiki/Chicago_Bulls#:~:text=The%20Chicago%20Bulls%20are%20an%20American%20professional%20basketball%20team",The two teams have never played because the Jets are a football team and the Bulls are a basketball team.,,,,,,,,,,
65,TEST,How many members of parliament in Yugoslavia are women?,before 2022,,TRUE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Yugoslavia#:~:text=Jugoslavija%0A%D0%88%D1%83%D0%B3%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D0%B8%D1%98%D0%B0-,1918%E2%80%931992,-1941%E2%80%931945%3A",The country of Yugoslavia no longer exists since it broke up into separate countries in 1992.,,,,,,,,,,
66,TEST,When was the iPhone 9 released?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/IPhone#Models,Apple has never released an iPhone 9 nor does it plan to.,,,,,,,,,,
67,TEST,When did cannabis become legal in the United States?,before 2022,,TRUE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Legality_of_cannabis_by_U.S._jurisdiction#:~:text=In%20the%20United%20States%2C,its%20use%20for%20any%20purpose.",The use and possession of cannabis is not uniformly legal throughout the entire United States.,,,,,,,,,,
68,TEST,What date in 2022 did BTS release its 10th studio album?,before 2022,,TRUE,one-hop,never-changing,"https://en.wikipedia.org/wiki/BTS_albums_discography#Compilation_albums:~:text=album.%5B19%5D-,Studio%20albums,-%5Bedit%5D","As of 2024, BTS has only released nine studio albums.",,,,,,,,,,
69,TEST,How many home runs has Real Madrid scored?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/Real_Madrid_CF#:~:text=is%20a%20Spanish%20professional%20football%20club,"Real Madrid is a professional soccer club and thus cannot score home runs. In soccer, players score goals, not home runs, which are made in baseball.",,,,,,,,,,
70,TEST,When did Rick Riordan first release the Harry Potter series?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/Harry_Potter#:~:text=Harry%20Potter%20is%20a%20series%20of%20seven%20fantasy%20novels%20written%20by%20British%20author%20J.%20K.%20Rowling.,The Harry Potter book series was created by J. K. Rowling instead of Rick Riordan.,,,,,,,,,,
71,TEST,When did California secede from the United States?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/California#:~:text=California%20is%20a%20state%20in%20the%20Western%20United%20States,California has never seceded from the United States.,California is still part of the United States.,,,,,,,,,
72,TEST,When did Epic Gaming first release Minecraft?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/Minecraft#:~:text=Minecraft%20is%20a%202011%20sandbox%20game%20developed%20by%20Mojang%20Studios%20and%20originally%20released%20in%202009.,"Minecraft was not developed by Epic Gaming. It was developed by Mojang Studios, which is now owned by Microsoft.",,,,,,,,,,
73,TEST,Which antibiotics are most effective against the flu?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/Influenza#:~:text=Influenza%2C%20commonly%20known%20as%20%22the%20flu%22%20or%20just%20%22flu%22%2C%20is%20an%20infectious%20disease%20caused%20by%20influenza%20viruses.,Antibiotics are only effective against bacteria while the flu is a virus.,,,,,,,,,,
74,TEST,When will IKEA celebrate its fiftieth anniversary?,before 2022,,TRUE,one-hop,never-changing,"https://en.wikipedia.org/wiki/IKEA#:~:text=Founded,28%C2%A0July%201943",IKEA celebrated its fiftieth anniversary in 1993 already.,,,,,,,,,,
75,TEST,In what year was Andrew Johnson elected as President of the United States?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/Andrew_Johnson#:~:text=He%20assumed%20the%20presidency%20following%20the%20assassination%20of%20Abraham%20Lincoln%2C%20as%20he%20was%20vice%20president%20at%20that%20time.,Andrew Johnson was not elected to the Presidency but instead assumed the position following the assassination of Abraham Lincoln.,,,,,,,,,,
76,TEST,When did Meta buy YouTube?,before 2022,,TRUE,one-hop,never-changing,"https://en.wikipedia.org/wiki/YouTube#:~:text=Owner,Google%20LLC",Meta has never bought YouTube.,"YouTube is currently owned by Alphabet, not Meta.",,,,,,,,,
77,TEST,When did Jeff Bezos sell Amazon?,before 2022,,TRUE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Amazon_(company)#:~:text=Owner,Jeff%20Bezos%20(9.8%25)",Jeff Bezos is still the current owner of Amazon.,,,,,,,,,,
78,TEST,In which year did New York join the Confederacy?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/Confederate_States_of_America#References:~:text=The%20states%20were%20South%20Carolina%2C%20Mississippi%2C%20Florida%2C%20Alabama%2C%20Georgia%2C%20Louisiana%2C%20Texas%2C%20Virginia%2C%20Arkansas%2C%20Tennessee%2C%20and%20North%20Carolina.,New York did not join the Confederate States of America.,,,,,,,,,,
79,TEST,When is the Megalodon expected to go extinct?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/Megalodon#:~:text=lived%20approximately%2023%20to%203.6%20million%20years%20ago,The Megalodon went extinct about 3.6 million years ago.,,,,,,,,,,
80,TEST,When did the Great Wall of China collapse?,before 2022,,TRUE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Great_Wall_of_China#:~:text=Wall%20(disambiguation).-,Great%20Wall%20of%20China,-%E8%90%AC%E9%87%8C%E9%95%B7%E5%9F%8E%20/%20%E4%B8%87%E9%87%8C%E9%95%BF%E5%9F%8E",The Great Wall of China is still standing.,,,,,,,,,,
81,TEST,In what year did the Tenth Crusade begin?,before 2022,,TRUE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Crusades#:~:text=In%20the%20Holy%20Land,Edward%27sFall%20of%20Outremer",The Tenth Crusade didn't exist. There were only nine major crusades (including Lord Edward's crusade).,,,,,,,,,,
82,TEST,When was the last time the Fields Medal was awarded to five mathematicians in the same year?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/Fields_Medal#:~:text=The%20Fields%20Medal%20is%20a%20prize%20awarded%20to%20two%2C%20three%2C%20or%20four%20mathematicians,The Fields Medal has never been awarded to more than four mathematicians.,,,,,,,,,,
83,TEST,What date this year will Walt Disney Animation Studios' 60th animated film be released?,before 2022,,TRUE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Walt_Disney_Animation_Studios#:~:text=Milestone%20variants%20were%20used%20for%20Tangled%20(2010)%20and%20Encanto%20(2021)%2C%20with%20text%20saying%20%2250th%20Animated%20Motion%20Picture%22%20and%20%2260th%20Animated%20Motion%20Picture%22%20respectively
https://en.wikipedia.org/wiki/Encanto#:~:text=Release%20dates,(United%20States)","The Walt Disney Animation Studios's 60th animated film, Encanto, was released in 2021 already.",,,,,,,,,,
84,TEST,What American wonder belongs to the New 7 Wonders of Nature?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/New_7_Wonders_of_Nature#Winners,None of American wonders won the New 7 Wonders of Nature.,,,,,,,,,,
85,TEST,In which Russian city were the 2022 Winter Olympics held? ,before 2022,,TRUE,one-hop,never-changing,"https://en.wikipedia.org/wiki/2022_Winter_Olympics#:~:text=2022%20Winter%20Olympics-,Host%20city,Beijing%2C%20China,-Motto","The 2022 Winter Olympics were held in Beijing, China, not in Russia.",,,,,,,,,,
86,TEST,In what three North American countries will the 2026 FIFA's Women World Cup take place?,before 2022,,TRUE,one-hop,never-changing,"https://en.wikipedia.org/wiki/FIFA_Women%27s_World_Cup#:~:text=Tournaments,201920232027",There won't be a FIFA's Women World Cup in 2026.,,,,,,,,,,
