Questions,Answers
Were Scott Derrickson and Ed Wood of the same nationality?,yes
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City"
2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated"
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson
Are Local H and For Against both from the United States?,yes
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999
Are Random House Tower and 888 7th Avenue both used for real estate?,no
The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984"
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,the North Atlantic Conference
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974
"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers DSC
Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez
This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic
"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",keyboard function keys
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy
What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper
Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,Barton Lee Hazlewood
"The 2011-12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",1838
"Are both Dictyosperma, and Huernia described as a genus?",yes
Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,Henry J. Kaiser
"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena of Khazan
"When was Poison's album ""Shut Up, Make Love"" released?",2000
"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?","Fujioka, Gunma"
Which  French ace pilot and adventurer fly L'Oiseau Blanc,Charles Eugène
Are Freakonomics and In the Realm of the Hackers both American documentaries?,no
"Which band, Letters to Cleo or Screaming Trees, had more members?",Letters to Cleo
Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?,Oct-22
Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,2000
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II
Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,no
Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City
Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?,Scotch Collie
Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,Mumbai
"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",1962
The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?,sovereignty
Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,Nelson Rockefeller
"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",Yellowcraig
Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?,Phil Spector
What type of forum did a former Soviet statesman initiate?,Organizations could come together to address global issues
Are Ferocactus and Silene both types of plant?,yes
Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?,English Electric Canberra
Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?,2009 Big 12 Conference
In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?,"1,462"
What race track in the midwest hosts a 500 mile race eavery May?,Indianapolis Motor Speedway
"In what city did the ""Prince of tenors"" star in a film based on an opera by Giacomo Puccini?",Rome
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh"
Which Australian city founded in 1838 contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name.,"Marion, South Australia"
D1NZ is a series based on what oversteering technique?,Drifting
who is younger Keith Bostic or Jerry Glanville ?,Keith Bostic
"According to the 2001 census, what was the population of the city in which Kirton End is located?","35,124"
Are both Cypress and Ajuga genera?,no
What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?,shortest player ever to play in the National Basketball Association
What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?,Ronald Shusett
"Who was born earlier, Emma Bull or Virginia Woolf?",Adeline Virginia Woolf
What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?,821
