Questions,Answers
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984"
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh"
"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton
Were the bands Skin Yard and Ostava from the U.S.?,no
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man
When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century
The author of Sexual Politics attended which British University?,Oxford
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",Roberta Vinci
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge"""
"Which came out first, Dinosaur or McFarland, USA",Dinosaur
Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?,Wichita
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,"48,982"
Are both Dafeng District and Dazhou located in the same province?,no
"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?",Starlite
One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,Hong Kong
The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?,Arrowhead Stadium
Salisbury Woodland Gardens links a zoo with a park designed and built under the watchful eye of who?,Thomas Mawson
Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by who ?,Brad Silberling
"Marion Greene was a health policy analyst for St. Judt Medical company, which had how many principal operations worldwide?",20
Which Genus has more species Eucryphia or Lepidozamia ?,Eucryphia
Which film was released first: Sacred Planet or Oz the Great and Powerful?,Sacred Planet
"Other than racing, what sport does the 1998 champion of the Toyota GRand Prix practice?",paracyclist
What officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880?,Treaty of Gandamak
Where is the Cocoa Krispies and former Superman sponsor located?,"Battle Creek, Michigan"
How many days did it take the Best New Artist of 2009 to sell 2 million copies of an album in the UK and break a twenty year old record?,29
"What is the international football competition for women that Liu Ailing played in the 1991,1995, 1999 editions?",international football competition
The city that contains the Yunnan Provincial Museum is also known by what nickname?,Spring city
What 2017 Christopher B. Landon directed American slasher film is Jessica Rothe starring in?,Happy Death Day
"when was the album that includes the song by Dustin Lynch released to country radio on February 17, 2017?",8-Sep-17
What city did the characters from Gargoyles the Movie: The Heroes Awaken wake up in after being in an enchantedly petrified state for a thousand years?,modern-day New York City
Which American writer wrote both The Ganymede Takeover (1967) and The Man in the High Castle (1962)?,Philip K. Dick
"Which football team does Lewis Young's older brother, Ashley Young, play for?",Premier League club Manchester United and the England national team
"The Indian actor and philanthropist, who starred in ""Mera Damad,"" entered the film industry in what year?",1977
"Which magazine is older, Gallery or Dime Magazine?","arose on the ""Playboy"" magazine pattern in the 1970s."
How large is the shopping mall where KGOT radio station has its studios ?,"728,000 ft²"
"Jacques Mathou starred in Delicatessen, the 1991 French movie in the style of which celebrated American animator?",Terry Gilliam
What is the height of the player who won the 2015 AFL Rising Star award?,1.95 m
The movies The Boatniks and The Great Locomotive Chase were both made by which production company?,Walt Disney Productions
Mick Carter is the landlord of a public house located at what address?,"46 Albert Square, Walford, London E20"
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian
How many Senate seats will be contested during the midterm elections that Nancy Soderberg has filed to run for Congress in?,33
How many restaurants comprise the quick service restaurant chain that Ron Joyce helped found?,"4,613"
"What type of film are both ""500 Years Later"" and ""Manson""?",documentary
What professions did S. Sylvan Simon and Danny Cannon have in common?,director and producer
"Where is the academy, for which Joseph D. Stewart was appointed Superintendent, located?","Kings Point, New York"
Luke Null is an actor who was on the program that premiered its 43rd season on which date?,30-Sep-17
"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but whose attempt to rid India of British rule during what war left a troubled legacy?",World War II
"The 2011 La Manga Cup was won by Viking, who beat which Norwegian football club from the town of Kristiansand, currently playing in Tippeligaen having been promoted from Adeccoligaen in 2012?",IK Start
"Which band has released the most studio albums, Blonde Redhead or Rob Zombie's band White Zombie?",Blonde Redhead
Where was the movement that August Brancart published literature from centerd?,Western Europe
Stephen susco wrote a movie produced by which american film actor?,Sam Raimi
are the documentaries Out of Place and The Mosuo Sisters by the same director ?,no
Watercliffe Meadow Primary Schools name change is an example of what term generally used to describe the avoidance of certain language?,political correctness
"Approximately how many locations is BJ's Wholesale Club operating in, as of early 2008?",650 locations
"What year was the American healthy lifestyle magazine, in which Georgia Rickard contributed, started?",1950
"Thomas Matthew ""Tom"" Chappell co-founded a commpany in 1970 that manufactures what products?",natural-ingredients-only personal care products
What type of beliefs does Mount Ida and Rhea have in common?,Greek mythology
Where does the story take place in 1988 film The Moderns?,1926 Paris
