,Unnamed: 0.1,Unnamed: 0,Questions,Answers,extended_answer,base_response,generated_samples,synonyms,synonym_responses,antonyms,antonym_responses,selfcheck_score
0,0,0,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,Guns N Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective in 1999.," Guns N' Roses performed a promo for the movie ""Last Action Hero"" in 1993, where Arnold Schwarzenegger played a former New York Police detective."," In 1990, Guns N' Roses performed the song ""You Could Be Mine"" for the movie soundtrack of ""Terminator 2: Judgment Day,"" where Arnold Schwarzenegger played a former New York Police detective.; Guns N' Roses performed a promo for the movie ""Last Action Hero"" in 1993, where Arnold Schwarzenegger played a former New York Police detective.; In 1990, Guns N' Roses performed the song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.; Guns N' Roses performed a promo for the movie ""Last Action Hero"" in 1993, where Arnold Schwarzenegger played a former New York Police detective.; In 1990, Guns N' Roses performed the song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.; In 1990, Guns N' Roses performed the song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.; Guns N' Roses performed a promo for the movie ""Last Action Hero"" in 1993, where Arnold Schwarzenegger played a former New York Police detective.; Guns N' Roses performed a promo for the movie ""Last Action Hero"" in 1993, where Arnold Schwarzenegger played a former New York Police detective.; In 1990, Guns N' Roses performed the song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.; Guns N' Roses performed a promo for the movie ""Last Action Hero"" in 1993, where Arnold Schwarzenegger played a former New York Police detective.","1. In 1993, Guns N' Roses promoted the film ""Last Action Hero"" featuring Arnold Schwarzenegger as a former New York Police detective.;2. The year 1993 saw Guns N' Roses performing a promo for the movie ""Last Action Hero,"" starring Arnold Schwarzenegger as a former New York Police detective.;3. Guns N' Roses carried out a promotional event for the movie ""Last Action Hero"" in 1993, where Arnold Schwarzenegger portrayed a former New York Police detective.;4. In the year 1993, Guns N' Roses participated in a promo for the movie ""Last Action Hero,"" starring Arnold Schwarzenegger as a former New York Police detective.;5. The movie ""Last Action Hero,"" starring Arnold Schwarzenegger as a former New York Police detective, had Guns N' Roses perform a promo in 1993.",YES;YES;YES;YES;NO,"1. Guns N' Roses did not perform a promo for the movie ""Last Action Hero"" in 1993.;2. The year Guns N' Roses performed a promo for the movie ""Last Action Hero"" was not 1993.;3. Arnold Schwarzenegger did not play a former New York Police detective in the movie for which Guns N' Roses performed a promo in 1993.;4. The movie for which Guns N' Roses performed a promo in 1993 was not ""Last Action Hero"".;5. Guns N' Roses did not perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective in any year other than 1993.",NO;NO;NO;YES;YES,0.5
1,1,1,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","Brown State Fishing Lake is in a country that has a population of 9,984 inhabitants."," Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants."," Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.","1. Brown State Fishing Lake resides within the United States, a nation boasting an estimated population of over 331 million people.;2. The United States, home to Brown State Fishing Lake, has an estimated population of over 331 million inhabitants.;3. Brown State Fishing Lake is situated in the United States, a country with an estimated population of more than 331 million residents.;4. In the United States, where Brown State Fishing Lake is found, the population is estimated to be over 331 million people.;5. The United States, the country where Brown State Fishing Lake is located, has an estimated population of over 331 million inhabitants.",YES;NO;YES;NO;YES,1. Brown State Fishing Lake is not located in a country with an estimated population of over 331 million inhabitants.;2. The country where Brown State Fishing Lake is located does not have an estimated population of over 331 million inhabitants.;3. Brown State Fishing Lake is not situated in a country with a population of how many inhabitants (less than 331 million).;4. The population of the country where Brown State Fishing Lake is located is not over 331 million inhabitants.;5. Over 331 million inhabitants do not reside in the country where Brown State Fishing Lake is located.,YES;NO;YES;NOT SURE;NO,0.0
2,2,2,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,Badly Drawn Boy has a higher instrument to person ratio compared to Wolf Alice.," Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs as a solo artist, while Wolf Alice is a band with multiple members playing various instruments."," Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo or with a smaller band, while Wolf Alice is known for their four-piece lineup.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo or with a smaller band, while Wolf Alice is known for their four-piece band setup.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs as a solo artist, while Wolf Alice is a band with multiple members.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo or with a smaller band, while Wolf Alice is known for their four-piece band setup.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo or with a smaller band, while Wolf Alice is known for their four-piece lineup.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo, while Wolf Alice is a band with multiple members.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo or with a smaller band, while Wolf Alice is known for their four-piece lineup.; Badly Drawn Boy, a solo artist, typically has a higher instrument-to-person ratio compared to Wolf Alice, a band.; Badly Drawn Boy, a solo artist, typically has a higher instrument-to-person ratio compared to Wolf Alice, a band.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs as a solo artist, while Wolf Alice is a band with multiple members playing various instruments.","1. Badly Drawn Boy's performance act usually features a lower instrument-to-person ratio than Wolf Alice, given that Badly Drawn Boy often performs alone, while Wolf Alice is a band with several members handling different instruments.;2. In comparison to Wolf Alice, Badly Drawn Boy's performance act typically has fewer instruments per person due to Badly Drawn Boy's solo nature, while Wolf Alice is a band with multiple members playing various instruments.;3. Badly Drawn Boy's performance act generally has a lower instrument-to-person ratio than Wolf Alice, as Badly Drawn Boy often performs solo, whereas Wolf Alice is a band with multiple members playing various instruments.;4. Wolf Alice's performance act typically has a higher instrument-to-person ratio than Badly Drawn Boy, since Wolf Alice is a band with multiple members playing various instruments, while Badly Drawn Boy often performs as a solo artist.;5. The instrument-to-person ratio in Badly Drawn Boy's performance act is usually lower than that of Wolf Alice, as Badly Drawn Boy often performs alone, while Wolf Alice is a band with several members playing different instruments.",YES;YES;YES;YES;YES,"1. Wolf Alice typically performs with a higher instrument-to-person ratio compared to Badly Drawn Boy, as Wolf Alice is a band with multiple members playing various instruments, while Badly Drawn Boy often performs as a solo artist.;2. Badly Drawn Boy has a higher person-to-instrument ratio compared to Wolf Alice.;3. In terms of instrument-to-person ratio, Wolf Alice has a more complex setup compared to Badly Drawn Boy, as Wolf Alice is a band with multiple members playing various instruments, while Badly Drawn Boy often performs as a solo artist.;4. Badly Drawn Boy's performance setup is less instrumentally diverse compared to Wolf Alice, as Badly Drawn Boy often performs as a solo artist, while Wolf Alice is a band with multiple members playing various instruments.;5. Wolf Alice's performance setup is less solo-oriented compared to Badly Drawn Boy, as Wolf Alice is a band with multiple members playing various instruments, while Badly Drawn Boy often performs as a solo artist.",YES;NOT SURE;YES;YES;YES,0.0
3,3,3,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,"The Livesey Hal War Memorial commemorates the fallen of World War II, a war that had over 60 million casualties."," The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties."," The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a global conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a global conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a global conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.","1. The Livesey Hal War Memorial honors those who perished during World War II, a war that caused more than 60 million casualties.;2. The fallen of World War II, a conflict with over 60 million casualties, are remembered by the Livesey Hal War Memorial.;3. The Livesey Hal War Memorial pays tribute to the victims of World War II, a war that resulted in over 60 million casualties.;4. World War II, a war with over 60 million casualties, is commemorated by the Livesey Hal War Memorial for the fallen.;5. The Livesey Hal War Memorial is dedicated to the memory of those who lost their lives during World War II, a war that resulted in over 60 million casualties.",YES;NO;YES;YES;YES,"1. The Livesey Hal War Memorial does not commemorate the fallen of World War II.;2. World War II is not the war that the Livesey Hal War Memorial commemorates the fallen of, which had over 60 million casualties.;3. The Livesey Hal War Memorial does not commemorate the fallen of a conflict that resulted in over 60 million casualties.;4. The war that the Livesey Hal War Memorial commemorates the fallen of did not have over 60 million casualties.;5. World War II is not the war that had over 60 million casualties and is commemorated by the Livesey Hal War Memorial.",YES;YES;NO;NO;NO,0.0
4,4,4,"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with Max Martin, Savan Kotecha, and Ilya Salmanzadeh, who are all talented writers, on her third studio album, Delirium."," Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium."," Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.","1. Ellie Goulding teamed up with Max Martin, Greg Kurstin, and Jim Eliot for her third studio album, Delirium.;2. On her third studio album, Delirium, Ellie Goulding partnered with Max Martin, Greg Kurstin, and Jim Eliot.;3. For her third studio album, Delirium, Ellie Goulding joined forces with Max Martin, Greg Kurstin, and Jim Eliot.;4. Max Martin, Greg Kurstin, and Jim Eliot were the collaborators Ellie Goulding worked with on her third studio album, Delirium.;5. Ellie Goulding's third studio album, Delirium, features collaborations with Max Martin, Greg Kurstin, and Jim Eliot.",YES;YES;YES;YES;YES,"1. Ellie Goulding did not collaborate with Max Martin, Greg Kurstin, or Jim Eliot on her third studio album, Delirium.;2. Ellie Goulding did not work with any of Max Martin, Greg Kurstin, or Jim Eliot on her third studio album, Delirium.;3. Max Martin, Greg Kurstin, and Jim Eliot are not the writers Ellie Goulding worked with on her third studio album, Delirium.;4. Ellie Goulding did not collaborate with Max Martin, Greg Kurstin, or Jim Eliot for her third studio album, Delirium.;5. There were no collaborations between Ellie Goulding and Max Martin, Greg Kurstin, or Jim Eliot on her third studio album, Delirium.",NO;YES;YES;YES;NO,0.0
5,5,5,"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,"Based on a True Story... is an album by country music star Blake Shelton, with the single My Eyes."," The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw."," The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by the country music star Jason Aldean.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by the country music star Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.","1. Tim McGraw released the album ""Based on a True Story"" featuring the single ""My Eyes"".;2. The country music single ""My Eyes"" is part of Tim McGraw's album ""Based on a True Story"".;3. ""My Eyes"" is a track on Tim McGraw's album ""Based on a True Story"".;4. Tim McGraw is the artist behind the album ""Based on a True Story"" and the single ""My Eyes"".;5. The single ""My Eyes"" belongs to the album ""Based on a True Story"", which was produced by country music star Tim McGraw.",YES;YES;YES;YES;NO,"1. The album ""Based on a True Story"" with the single ""My Eyes"" is not by Tim McGraw.;2. Tim McGraw did not release the album ""Based on a True Story"" with the single ""My Eyes"".;3. ""My Eyes"" is not a single from Tim McGraw's album ""Based on a True Story"".;4. The artist who released the album ""Based on a True Story"" with the single ""My Eyes"" is not Tim McGraw.;5. Tim McGraw did not produce the single ""My Eyes"" that is part of the album ""Based on a True Story"".",YES;NO;YES;YES;YES,0.1
6,6,6,Were the bands Skin Yard and Ostava from the U.S.?,no,"No, neither Skin Yard nor Ostava were from the U.S."," Yes, both Skin Yard and Ostava were American bands. Skin Yard was from Seattle, Washington, and Ostava was from Los Angeles, California."," Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava were American bands. Skin Yard was from Seattle, Washington, and Ostava was from San Francisco, California.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava were American bands. Skin Yard was from Seattle, Washington, and Ostava was from Los Angeles, California.","1. Both Skin Yard and Ostava hail from the United States.;2. Seattle, Washington, and Los Angeles, California, are the origins of the American bands Skin Yard and Ostava.;3. Skin Yard, based in Seattle, Washington, and Ostava, based in Los Angeles, California, are both American bands.;4. The American cities of Seattle, Washington, and Los Angeles, California, are the birthplaces of the bands Skin Yard and Ostava.;5. Skin Yard, a band from Seattle, Washington, and Ostava, a band from Los Angeles, California, are both part of the American music scene.",NO;YES;YES;YES;YES,"1. Neither Skin Yard nor Ostava were from the U.S.;2. Skin Yard was not an American band.;3. Ostava was not an American band.;4. Skin Yard was not from Seattle, Washington, and Ostava was not from Los Angeles, California.;5. Both Skin Yard and Ostava were not American bands, with Skin Yard not being from Seattle, Washington, and Ostava not being from Los Angeles, California.",YES;YES;YES;YES;YES,0.0
7,7,7,The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,"The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount in the 2017 film titled ""The Bye Bye Man."""," The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount."," The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars alongside Douglas Smith and Lucien Laviscount in the 2017 film ""The Osiris Child: Science Fiction Volume One.""; The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.; The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.; The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Osiris Child: Science Fiction Volume One.""; The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.; The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.; The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.; The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.; The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.; The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.","1. In the 2017 film ""Patrick"", Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon, shares the screen with Douglas Smith and Lucien Laviscount.;2. The 2017 film ""Patrick"" features Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon, along with Douglas Smith and Lucien Laviscount.;3. Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon, is a cast member in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.;4. The 2017 film ""Patrick"" includes Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon, as one of its stars, alongside Douglas Smith and Lucien Laviscount.;5. In the 2017 film ""Patrick"", Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon, appears alongside Douglas Smith and Lucien Laviscount.",YES;NO;NO;YES;YES,"1. Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon, does not star in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.;2. ""Patrick"" does not feature Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon, alongside Douglas Smith and Lucien Laviscount.;3. Douglas Smith and Lucien Laviscount do not star in the 2017 film ""Patrick"" with Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon.;4. The 2017 film ""Patrick"" does not include Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon, in its cast alongside Douglas Smith and Lucien Laviscount.;5. Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon, is not one of the actors in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.",YES;YES;YES;YES;YES,0.2
8,8,8,When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,"The palace, at which Columba de Dunbar died in 1435, was founded in the late 12th Century."," The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the 12th century."," The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the early 12th century.; The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the early 12th century.; The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the early 12th century.; The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the early 12th century.; The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the early 12th century.; The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the 12th century.; The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the early 12th century.; The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the 12th century.; The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the early 12th century.; The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the 12th century.","1. The palace at Dunbar, where Columba de Dunbar passed away in 1435, was probably established during the rule of King David I of Scotland in the 12th century.;2. The palace in Dunbar, where Columba de Dunbar died in 1435, was likely constructed during the reign of King David I of Scotland in the 12th century.;3. The palace in Dunbar, where Columba de Dunbar perished in 1435, was likely founded during the time of King David I of Scotland in the 12th century.;4. The palace at Dunbar, where Columba de Dunbar breathed his last in 1435, was likely built during the reign of King David I of Scotland in the 12th century.;5. The palace in Dunbar, where Columba de Dunbar expired in 1435, was likely erected during the rule of King David I of Scotland in the 12th century.",YES;YES;YES;YES;YES,"1. The palace at Dunbar, where Columba de Dunbar died in 1435, was not likely founded during the reign of King David I of Scotland in the 12th century.;2. King David I of Scotland did not found the palace at Dunbar, where Columba de Dunbar died in 1435, in the 12th century.;3. The palace at Dunbar, where Columba de Dunbar died in 1435, was founded after the reign of King David I of Scotland in the 12th century.;4. The palace at Dunbar, where Columba de Dunbar died in 1435, was not founded during Columba de Dunbar's lifetime.;5. The palace at Dunbar, where Columba de Dunbar died in 1435, was founded before King David I of Scotland's reign in the 12th century.",YES;YES;NO;NO;YES,0.0
9,9,9,The author of Sexual Politics attended which British University?,Oxford,"The author of Sexual Politics attended Oxford, one of the most prestigious universities in Britain."," Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York."," Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.; Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.; Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.; Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.; Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.; Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.; Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.; Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.; Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.; Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.","1. Stella Rimington, the ex-Director General of MI5, studied at the University of Sussex, while Kate Millett, the author of Sexual Politics, pursued her education at Barnard College in New York.;2. Unlike Kate Millett, who studied at Barnard College in New York, Stella Rimington, the former head of MI5, attended the University of Sussex.;3. While Kate Millett, the author of Sexual Politics, was a student at Barnard College in New York, Stella Rimington, a former Director General of MI5, studied at the University of Sussex.;4. The author of Sexual Politics, Kate Millett, studied at Barnard College in New York, whereas Stella Rimington, the former Director General of MI5, attended the University of Sussex.;5. Stella Rimington, the former Director General of MI5, and Kate Millett, the author of Sexual Politics, had different universities for their education: Rimington attended the University of Sussex, while Millett studied at Barnard College in New York.",YES;YES;NO;YES;YES,"1. Stella Rimington, the author of Sexual Politics, attended the University of Sussex.;2. Kate Millett, not the former Director General of MI5, attended Barnard College in New York.;3. The author of Sexual Politics did not attend the University of Sussex.;4. Barnard College in New York, not the University of Sussex, is where the author of Sexual Politics studied.;5. The former Director General of MI5, not Kate Millett, attended the University of Sussex.",NO;YES;NO;YES;YES,0.0
