,Unnamed: 0,id,split,question,effective_year,next_review,false_premise,num_hops,fact_type,source,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,note,extended_answer_0,extended_answer_1,extended_answer_2,extended_answer_3,extended_answer_4,extended_answer_5,extended_answer_6,extended_answer_7,extended_answer_8,extended_answer_9
0,0,324,TEST,When did Elon Musk officially become Twitter's owner?,before 2022,,False,one-hop,never-changing,"https://en.wikipedia.org/wiki/Twitter,_Inc.#List_of_CEOs:~:text=On%20October%2027%2C%202022%2C%20Elon%20Musk%20closed%20a%20deal%20to%20purchase%20the%20company","Oct 27, 2022","October 27, 2022",27 Oct 2022,27 October 2022,10/27/2022,10-27-2022,27/10/2022,27-10-2022,2022/10/27,2022-10-27,,"Elon Musk officially became Twitter's owner on Oct 27, 2022, marking a significant milestone in his career and influence in the tech industry.","Elon Musk officially became Twitter's owner on October 27, 2022, marking a significant milestone in his career and influence in the tech industry.",Elon Musk officially became Twitter's owner on 27 Oct 2022.,Elon Musk officially became Twitter's owner on 27 October 2022.,Elon Musk officially became Twitter's owner on 10/27/2022.,Elon Musk officially became Twitter's owner on 10-27-2022.,Elon Musk officially became Twitter's owner on 27/10/2022.,Elon Musk officially became Twitter's owner on 27-10-2022.,"Elon Musk officially became Twitter's owner on October 27, 2022.","Elon Musk officially became Twitter's owner on October 27, 2022."
1,1,325,TEST,Who killed the former Japanese Prime Minister Shinzo Abe?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Shinzo_Abe#:~:text=A%2041%2Dyear%2Dold%20man%20named%20Tetsuya%20Yamagami%2C%20a%20former%20JMSDF%20member%2C%20was%20immediately%20arrested%20and%20later%20confessed%20to%20local%20police.,Tetsuya Yamagami,,,,,,,,,,,Tetsuya Yamagami is the person who killed the former Japanese Prime Minister Shinzo Abe.,,,,,,,,,
2,2,326,TEST,What was the first operational image taken by the James Webb Space Telescope?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Webb%27s_First_Deep_Field#:~:text=Webb%27s%20First%20Deep%20Field%20is%20the%20first%20operational%20image%20taken%20by%20the%20James%20Webb%20Space%20Telescope%20(JWST).,Webb's First Deep Field,,,,,,,,,,,"The first operational image taken by the James Webb Space Telescope was Webb's First Deep Field, which captured a stunning view of distant galaxies.",,,,,,,,,
3,3,327,TEST,Who revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Webb%27s_First_Deep_Field#:~:text=It%20was%20first%20revealed%20to%20the%20public%20during%20an%20event%20on%2011%20July%202022%20by%20U.S.%20President%20Joe%20Biden.,Joe Biden,Joseph Robinette Biden Jr,President Joe Biden,President Biden,U.S. President Joe Biden,,,,,,,"Joe Biden, the President of the United States at the time, revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.",Joseph Robinette Biden Jr revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,President Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,U.S. President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,,,,,
4,4,328,TEST,Who was the first elected female Governor of Massachusetts?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Maura_Healey#:~:text=the%20first%20woman%20elected%20governor%20of%20Massachusetts,Maura Healey,Maura Tracy Healey,,,,,,,,,,Maura Healey was the first elected female Governor of Massachusetts.,Maura Tracy Healey was the first elected female Governor of Massachusetts.,,,,,,,,
5,5,329,TEST,On what date did Queen Elizabeth II of England die?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Death_and_state_funeral_of_Elizabeth_II#:~:text=8%C2%A0September%C2%A02022%2C%20at%2015%3A10%20(BST)%20(death),"Sep 8, 2022","September 8, 2022",8 Sep 2022,8 September 2022,09/8/2022,09-8-2022,8/09/2022,8-09-2022,2022/09/8,2022-09-8,,"Queen Elizabeth II of England died on September 8, 2022.","Queen Elizabeth II of England died on September 8, 2022, marking the end of an era for the British monarchy.","Queen Elizabeth II of England died on 8 Sep 2022, marking the end of an era for the British monarchy.","Queen Elizabeth II of England died on 8 September 2022, marking the end of an era for the British monarchy.","Queen Elizabeth II of England died on September 8, 2022.","Queen Elizabeth II of England died on September 8, 2022.",Queen Elizabeth II of England died on 8/09/2022.,Queen Elizabeth II of England died on 8-09-2022.,"Queen Elizabeth II of England died on September 8, 2022.","Queen Elizabeth II of England died on September 8, 2022."
6,6,330,TEST,"Who won the 2022 Nobel Prize in Chemistry from University of Copenhagen, Denmark?",before 2022,,False,one-hop,never-changing,https://www.nobelprize.org/prizes/chemistry/2022/press-release/#:~:text=Morten%20Meldal%0AUniversity%20of%20Copenhagen%2C%20Denmark,Morten Meldal,Morten Peter Meldal,Morten Peter Meldal,,,,,,,,,"Morten Meldal, from the University of Copenhagen, Denmark, won the 2022 Nobel Prize in Chemistry.","Morten Peter Meldal, from the University of Copenhagen, Denmark, won the 2022 Nobel Prize in Chemistry.","Morten Peter Meldal, from the University of Copenhagen, Denmark, won the 2022 Nobel Prize in Chemistry.",,,,,,,
7,7,331,TEST,Who wrote the best novelette of the 2022 Hugo Awards?,before 2022,,False,one-hop,never-changing,https://lithub.com/here-are-the-winners-of-the-2022-hugo-awards/#:~:text=Best%20Novelette%3A%C2%A0%E2%80%9CBots%20of%20the%20Lost%20Ark%E2%80%9D%20by%20Suzanne%20Palmer,Suzanne Palmer,,,,,,,,,,,Suzanne Palmer wrote the best novelette of the 2022 Hugo Awards.,,,,,,,,,
8,8,332,TEST,Who was the first player to win more than one FIFA World Cup Golden Ball?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/FIFA_World_Cup_awards#:~:text=At%20the%202022%20FIFA%20World%20Cup%2C%20Lionel%20Messi%20became%20the%20first%20player%20to%20win%20a%20second%20Golden%20Ball.,Lionel Messi,,,,,,,,,,,"Lionel Messi was the first player to win more than one FIFA World Cup Golden Ball, which is awarded to the tournament's best player.",,,,,,,,,
9,9,333,TEST,Who was the first player to score a goal at five FIFA Men's World Cup tournaments?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Cristiano_Ronaldo#International_career:~:text=On%2024%20November%2C%20in%20Portugal%27s%20opening%20match%20against%20Ghana%2C%20Ronaldo%20scored%20a%20penalty%20kick%20and%20became%20the%20first%20male%20player%20to%20score%20in%20five%20different%20World%20Cups.,Cristiano Ronaldo,,,,,,,,,,,"Cristiano Ronaldo was the first player to score a goal at five FIFA Men's World Cup tournaments, showcasing his exceptional talent and longevity in the sport.",,,,,,,,,
