,Unnamed: 0,id,split,question,effective_year,next_review,false_premise,num_hops,fact_type,source,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,note,base_response,generated_samples,synonyms,synonym_responses,antonyms,antonym_responses,selfcheck_score
0,0,58,TEST,When did President Joe Biden announce his second presidential campaign this year?,before 2022,,True,one-hop,never-changing,https://en.wikipedia.org/wiki/Joe_Biden_2024_presidential_campaign#:~:text=He%20made%20a%20second%20attempt%20during%20the%202008%20Democratic%20Party%20presidential%20primaries.,He made his second presidential campaign during the 2008 Democratic Party presidential primaries already.,,,,,,,,,,," President Joe Biden announced his second presidential campaign on April 25, 2023."," President Joe Biden announced his second presidential campaign on April 25, 2023.; President Joe Biden announced his second presidential campaign on April 25, 2023.; President Joe Biden announced his second presidential campaign on April 25, 2023.; President Joe Biden announced his second presidential campaign on April 25, 2023.; President Joe Biden announced his second presidential campaign on April 25, 2023.; President Joe Biden announced his second presidential campaign on April 25, 2023.; President Joe Biden announced his second presidential campaign on April 25, 2023.; President Joe Biden announced his second presidential campaign on April 25, 2023.; President Joe Biden announced his second presidential campaign on April 25, 2023.; President Joe Biden announced his second presidential campaign on April 25, 2023.","1. On April 25, 2023, President Joe Biden declared his second presidential campaign.;2. The announcement of President Joe Biden's second presidential campaign was made on April 25, 2023.;3. April 25, 2023, marked the day President Joe Biden launched his second presidential campaign.;4. President Joe Biden announced the commencement of his second presidential campaign on April 25, 2023.;5. On the date of April 25, 2023, President Joe Biden initiated his second presidential campaign.",NO;NO;NO;NO;NO,"1. President Joe Biden did not announce his second presidential campaign on April 25, 2023.;2. April 25, 2023, was not the day when President Joe Biden announced his second presidential campaign.;3. President Joe Biden's second presidential campaign was not announced this year on April 25, 2023.;4. There was no announcement of President Joe Biden's second presidential campaign on April 25, 2023.;5. April 25, 2023, is not the date when President Joe Biden announced his second presidential campaign this year.",YES;NO;NO;YES;YES,0.0
1,1,59,TEST,Who won the FIFA Ballon d'Or last year?,before 2022,,True,one-hop,never-changing,https://en.wikipedia.org/wiki/FIFA_Ballon_d%27Or#:~:text=The%20final%20FIFA%20Ballon%20d%27Or%20was%20presented%20to%20Messi%20in%202015.%20Its%20awarding%20bodies%20subsequently%20ended%20their%20partnership,There was no FIFA Ballon d'Or award last year. The final FIFA Ballon d'Or was presented to Messi in 2015.,,,,,,,,,,, Lionel Messi won the FIFA Ballon d'Or in 2021., Lionel Messi won the FIFA Ballon d'Or in 2021.; Lionel Messi won the FIFA Ballon d'Or in 2021.; Lionel Messi won the FIFA Ballon d'Or in 2021.; Lionel Messi won the FIFA Ballon d'Or in 2021.; Lionel Messi won the FIFA Ballon d'Or in 2021.; Lionel Messi won the FIFA Ballon d'Or in 2021.; Lionel Messi won the FIFA Ballon d'Or in 2021.; Lionel Messi won the FIFA Ballon d'Or in 2021.; Lionel Messi won the FIFA Ballon d'Or in 2021.; Lionel Messi won the FIFA Ballon d'Or in 2021.,"1. Lionel Messi was awarded the FIFA Ballon d'Or in the year 2021.;2. The FIFA Ballon d'Or for the year 2021 was won by Lionel Messi.;3. In 2021, Lionel Messi claimed the FIFA Ballon d'Or title.;4. Lionel Messi emerged victorious in the FIFA Ballon d'Or competition of 2021.;5. The FIFA Ballon d'Or for the year 2021 was rightfully claimed by Lionel Messi.",NO;YES;YES;NO;YES,1. Someone other than Lionel Messi won the FIFA Ballon d'Or in 2021.;2. The FIFA Ballon d'Or in 2021 was not won by Lionel Messi.;3. Lionel Messi did not win the FIFA Ballon d'Or in 2021.;4. The FIFA Ballon d'Or in 2021 was not won by Messi.;5. Messi was not the recipient of the FIFA Ballon d'Or in 2021.,NO;NO;NO;YES;YES,0.0
2,2,60,TEST,Will there be 29 days in February in the leap year of 2500?,before 2022,,True,one-hop,never-changing,https://www.timeanddate.com/date/leapyear.html#:~:text=According%20to%20these%20rules%2C%20the%20years%202000%20and%202400%20are%20leap%20years%2C%0Awhile%201800%2C%201900%2C%202100%2C%202200%2C%202300%2C%20and%202500%20are%20not%20leap%20years.,2500 is not a leap year.,,,,,,,,,,," Yes, there will be 29 days in February in the leap year of 2500."," Yes, there will be 29 days in February in the leap year of 2500.; Yes, there will be 29 days in February in the leap year of 2500.; Yes, there will be 29 days in February in the leap year of 2500.; Yes, there will be 29 days in February in the leap year of 2500.; Yes, there will be 29 days in February in the leap year of 2500.; Yes, there will be 29 days in February in the leap year of 2500.; Yes, there will be 29 days in February in the leap year of 2500.; Yes, there will be 29 days in February in the leap year of 2500.; Yes, there will be 29 days in February in the leap year of 2500.; Yes, there will be 29 days in February in the leap year of 2500.","1. In the leap year of 2500, February will have 29 days.;2. The month of February in the year 2500's leap year will consist of 29 days.;3. February, in the year 2500's leap year, will have 29 days.;4. There will be 29 days in the month of February during the leap year of 2500.;5. The leap year of 2500 will include 29 days in the month of February.",NO;NO;NO;NO;NO,1. There will not be 29 days in February in the leap year of 2500.;2. February in the leap year of 2500 will not have 29 days.;3. The leap year of 2500 will not have 29 days in February.;4. February in the year 2500 will not be a leap month with 29 days.;5. There will not be a leap year in 2500 with 29 days in February.,YES;NO;YES;YES;NO,0.0
3,3,61,TEST,How many home runs did Benjamin Ruth hit in the MLB?,before 2022,,True,one-hop,never-changing,,Benjamin Ruth is not a baseball player in the MLB.,,,,,,,,,,," Benjamin Ruth, who played in the MLB from 1920 to 1935, did not hit 700 home runs in his career, as is often incorrectly stated. The actual number of home runs he hit is 549."," Benjamin Ruth, who played in the MLB from 1920 to 1935, did not hit 700 home runs during his career, as is often incorrectly stated; his actual total was 541.; Benjamin Ruth, who played in the MLB from 1920 to 1935, hit a total of 541 home runs during his career.; Benjamin Ruth, who played in the MLB from 1921 to 1935, hit a total of 541 home runs during his career.; Benjamin Ruth, who played in the MLB from 1914 to 1935, did not hit 700 home runs as is often incorrectly stated; his actual career total was 541 home runs.; Benjamin Ruth, who played in the MLB from 1914 to 1935, did not hit 700 home runs as is often incorrectly stated; his actual career total was 541 home runs.; Benjamin Ruth, who played in the MLB from 1914 to 1935, did not hit 700 home runs, as is often incorrectly stated. The actual number of home runs he hit is 549.; Benjamin Ruth, who played in the MLB from 1920 to 1935, did not hit 700 home runs as is often incorrectly stated. The actual number of home runs he hit is 549.; Benjamin Ruth, who played in the MLB from 1914 to 1935, did not hit 700 home runs as is often incorrectly stated. The actual number of home runs he hit is 549.; Benjamin Ruth, who played in the MLB from 1920 to 1935, did not hit any home runs during his career.; Benjamin Ruth, who played in the MLB from 1920 to 1935, did not hit 700 home runs in his career, as is often incorrectly stated. The actual number of home runs he hit is 549.","1. In his MLB career spanning from 1920 to 1935, Benjamin Ruth did not manage to hit 700 home runs, contrary to the common misconception. The correct number of home runs he hit is 549.;2. Contrary to popular belief, Benjamin Ruth, who played in the MLB from 1920 to 1935, did not hit 700 home runs during his career. The actual number of home runs he hit is 549.;3. Benjamin Ruth, a player in the MLB from 1920 to 1935, did not achieve the 700 home runs often attributed to him. The accurate number of home runs he hit is 549.;4. It is a misconception that Benjamin Ruth, who played in the MLB from 1920 to 1935, hit 700 home runs in his career. The correct number of home runs he hit is 549.;5. Benjamin Ruth, a MLB player from 1920 to 1935, did not hit 700 home runs, as is commonly believed. The actual number of home runs he hit is 549.",YES;YES;NO;YES;YES,"1. Benjamin Ruth hit 700 home runs in the MLB.;2. The actual number of home runs Benjamin Ruth hit in the MLB is 700.;3. It is correct that Benjamin Ruth hit 700 home runs in his MLB career.;4. Benjamin Ruth's career home run total in the MLB was 700.;5. Contrary to the statement, Benjamin Ruth did hit 700 home runs in the MLB.",NO;NO;NO;NO;NO,0.6923076923076923
4,4,62,TEST,When did Lance Armstrong land on the moon?,before 2022,,True,one-hop,never-changing,https://en.wikipedia.org/wiki/Lance_Armstrong#:~:text=Lance%20Edward%20Armstrong%20(n%C3%A9%20Gunderson%3B%20born%20September%2018%2C%201971)%5B4%5D%20is%20an%20American%20former%20professional%20road%20racing%20cyclist.,Lance Armstrong is not an astronaut.,,,,,,,,,,," Lance Armstrong never landed on the moon, as he is a professional cyclist, not an astronaut."," Lance Armstrong never landed on the moon, as he is a professional cyclist, not an astronaut.; Lance Armstrong never landed on the moon; he is a cyclist, not an astronaut.; Lance Armstrong never landed on the moon, as he is a professional cyclist, not an astronaut.; Lance Armstrong never landed on the moon, as he is a cyclist, not an astronaut.; Lance Armstrong never landed on the moon; he is a cyclist, not an astronaut.; Lance Armstrong never landed on the moon, as he is a professional cyclist, not an astronaut.; Lance Armstrong never landed on the moon; he is a cyclist, not an astronaut.; Lance Armstrong never landed on the moon, as he is a cyclist, not an astronaut.; Lance Armstrong never landed on the moon, as he is a professional cyclist, not an astronaut.; Lance Armstrong never landed on the moon, as he is a professional cyclist, not an astronaut.","1. Lance Armstrong, being a cyclist, has never embarked on a lunar expedition, unlike astronauts.;2. Contrary to popular belief, Lance Armstrong, a cyclist, has not made a trip to the moon.;3. As a professional cyclist, Lance Armstrong has not ventured to the moon, unlike astronauts who have.;4. Lance Armstrong, a cyclist, has not been among the individuals who have walked on the moon.;5. Unlike astronauts, Lance Armstrong, a cyclist, has not set foot on the moon.",YES;YES;NO;YES;YES,"1. Lance Armstrong landed on the moon.;2. Lance Armstrong is an astronaut.;3. Lance Armstrong's profession is astronaut, not cyclist.;4. Lance Armstrong's moon landing occurred.;5. The moon landing was by Lance Armstrong.",NO;NO;NO;NO;NO,0.23076923076923078
5,5,63,TEST,On what date did the 1944 German spelling reform go into effect in schools across the country?,before 2022,,True,one-hop,never-changing,https://en.wikipedia.org/wiki/German_orthography_reform_of_1944#:~:text=Although%20one%20million%20copies%20of%20the%20new%20rules%20were%20printed%20by%201944%20for%20school%20use%2C%20the%20reform%20was%20never%20introduced.,The reform was never introduced.,,,,,,,,,,," The 1944 German spelling reform went into effect on October 1, 1945, in schools across the country."," The 1944 German spelling reform went into effect on October 1, 1945, in schools across the country.; The 1944 German spelling reform went into effect on August 1, 1945, in schools across the country.; The 1944 German spelling reform went into effect on August 1, 1945, in schools across the country.; The 1944 German spelling reform went into effect in schools across the country on August 1, 1945.; The 1944 German spelling reform went into effect on August 1, 1945, in schools across the country.; The 1944 German spelling reform went into effect on October 1, 1945, in schools across the country.; The 1944 German spelling reform went into effect on October 1, 1945, in schools across the country.; The 1944 German spelling reform went into effect on October 1, 1945, in schools across the country.; The 1944 German spelling reform went into effect on October 1, 1945, in schools across the country.; The 1944 German spelling reform went into effect on October 1, 1945, in schools across the country.","1. October 1, 1945, marked the day when the 1944 German spelling reform was implemented in schools nationwide.;2. The 1944 German spelling reform was enforced in schools throughout the country on October 1, 1945.;3. On October 1, 1945, schools across the country began to follow the 1944 German spelling reform.;4. The 1944 German spelling reform was introduced in schools across the country on October 1, 1945.;5. October 1, 1945, was the date when the 1944 German spelling reform was initiated in schools across the nation.",NO;NO;NO;NO;NO,"1. The 1944 German spelling reform did not go into effect on October 1, 1944, in schools across the country.;2. October 1, 1944, was not the date when the 1944 German spelling reform went into effect in schools across the country.;3. The 1944 German spelling reform did not go into effect on October 1, 1945, in schools across the country.;4. In schools across the country, the 1944 German spelling reform did not go into effect on October 1, 1945.;5. The 1944 German spelling reform went into effect on a date other than October 1, 1945, in schools across the country.",YES;YES;YES;NO;YES,0.4
6,6,64,TEST,How many times have the New York Jets lost to the Chicago Bulls?,before 2022,,True,one-hop,never-changing,"https://en.wikipedia.org/wiki/New_York_Jets#:~:text=The%20New%20York%20Jets%20are%20a%20professional%20American%20football%20team
https://en.wikipedia.org/wiki/Chicago_Bulls#:~:text=The%20Chicago%20Bulls%20are%20an%20American%20professional%20basketball%20team",The two teams have never played because the Jets are a football team and the Bulls are a basketball team.,,,,,,,,,,," The New York Jets and Chicago Bulls do not play each other in the same sport, so they have never faced each other in a game."," The New York Jets and Chicago Bulls, being professional sports teams of different leagues (NFL and NBA respectively), have never played against each other.; The New York Jets and Chicago Bulls, being professional sports teams from different leagues (NFL and NBA respectively), have never played against each other.; The New York Jets and Chicago Bulls, being professional sports teams from different leagues (NFL and NBA respectively), have never played against each other.; The New York Jets and Chicago Bulls, being professional sports teams of different leagues (NFL and NBA respectively), have never played against each other.; The New York Jets and Chicago Bulls, being professional sports teams of different leagues (NFL and NBA respectively), have never played against each other.; The New York Jets and Chicago Bulls, being professional sports teams of different leagues (NFL and NBA respectively), have never played against each other, so the question of how many times the Jets have lost to the Bulls is not applicable.; The New York Jets and Chicago Bulls do not compete in the same major sports league, so they have never faced each other in a game.; The New York Jets and Chicago Bulls, being professional sports teams from different leagues (NFL and NBA respectively), have never played against each other.; The New York Jets and Chicago Bulls, being professional sports teams from different leagues (NFL and NBA respectively), have never played against each other.; The New York Jets and Chicago Bulls do not play each other in the same sport, so they have never faced each other in a game.","1. The New York Jets and Chicago Bulls, being from different sports, have never competed against each other, thus they have never experienced a loss in a game.;2. Since the New York Jets and Chicago Bulls are not from the same sport, they have never had a match, and therefore, there has never been a loss for the Jets against the Bulls.;3. The New York Jets and Chicago Bulls, being in different leagues, have never played each other, and as a result, there has never been a loss for the Jets against the Bulls.;4. The New York Jets and Chicago Bulls, being from distinct sports, have never encountered each other in a game, and thus, there has never been a loss for the Jets against the Bulls.;5. The New York Jets and Chicago Bulls, being from separate sports, have never met in a match, and hence, there has never been a loss for the Jets against the Bulls.",NO;YES;YES;YES;YES,1. The New York Jets have faced the Chicago Bulls in a game.;2. The New York Jets have won against the Chicago Bulls.;3. The Chicago Bulls have lost to the New York Jets.;4. The New York Jets and Chicago Bulls have played each other in the same sport.;5. There is a recorded game where the New York Jets lost to the Chicago Bulls.,NO;NO;NO;NO;NO,0.0
7,7,65,TEST,How many members of parliament in Yugoslavia are women?,before 2022,,True,one-hop,never-changing,"https://en.wikipedia.org/wiki/Yugoslavia#:~:text=Jugoslavija%0A%D0%88%D1%83%D0%B3%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D0%B8%D1%98%D0%B0-,1918%E2%80%931992,-1941%E2%80%931945%3A",The country of Yugoslavia no longer exists since it broke up into separate countries in 1992.,,,,,,,,,,," As of the dissolution of Yugoslavia in 1992, there were no official records available for the total number of women in parliament across all successor states at that time. However, it's important to note that the percentage of women in parliament in the former Yugoslavia was relatively low compared to other European countries."," As of the dissolution of Yugoslavia in 1992, there were no longer a unified parliament, but in the last Yugoslav parliament (1989-1990), women made up approximately 10% of the members.; As of the dissolution of Yugoslavia in 1992, there were no official records available for the total number of women in parliament across all Yugoslav republics. However, it's known that women's representation in Yugoslavia's parliament was relatively low compared to other European countries during the 1980s.; As of the dissolution of Yugoslavia in 1992, there were no longer a unified parliament, but in the last Yugoslav parliament (1989-1990), women comprised approximately 10% of the members.; As of the dissolution of Yugoslavia in 1992, there were no longer a unified parliament, but for instance, in Serbia, women made up approximately 20% of the parliament members in the early 1990s.; As of the dissolution of Yugoslavia in 1992, there were no longer a unified parliament, but in the last Yugoslav parliament (1989-1990), women made up approximately 10% of the members.; As of the dissolution of Yugoslavia in 1992, there were no longer a unified parliament, but in 1990, women made up approximately 10% of the members of the Federal Assembly of Yugoslavia.; As of the dissolution of Yugoslavia in 1992, there were no official records available for the total number of women in parliament across all Yugoslav republics. However, it's known that women's representation in Yugoslavia's parliament was relatively low compared to other European countries during the 1980s.; As of the dissolution of Yugoslavia in 1992, there were no unified statistics available on the number of women in parliament across all successor states. However, in the late 1980s, women held approximately 10% of seats in the Federal Assembly of Yugoslavia.; As of the dissolution of Yugoslavia in 1992, there were no unified statistics available on the number of women in parliament across all successor states. However, in the late 1980s, women held approximately 10% of the seats in the Federal Assembly of Yugoslavia.; As of the dissolution of Yugoslavia in 1992, there were no official records available for the total number of women in parliament across all successor states at that time. However, it's important to note that the percentage of women in parliament in the former Yugoslavia was relatively low compared to other European countries.","1. As of the disintegration of Yugoslavia in 1992, there were no documented records indicating the number of female parliament members across all successor states.;2. Upon the dissolution of Yugoslavia in 1992, no records were available to show the total count of women in parliament across all successor states.;3. Following the breakup of Yugoslavia in 1992, no records were accessible to reveal the exact number of women in parliament across all successor states.;4. In the aftermath of Yugoslavia's dissolution in 1992, no records were on hand to provide the total number of female parliament members across all successor states.;5. Post-dissolution of Yugoslavia in 1992, no records were accessible to specify the total number of women in parliament across all successor states.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,"1. As of the dissolution of Yugoslavia in 1992, there were official records available indicating that there were women in parliament across all successor states at that time.;2. The number of women in parliament in Yugoslavia at the time of its dissolution in 1992 was more than zero.;3. The percentage of women in parliament in the former Yugoslavia was higher compared to other European countries at the time of its dissolution in 1992.;4. The dissolution of Yugoslavia in 1992 did not result in a decrease in the number of women in parliament across all successor states.;5. It's not true that the percentage of women in parliament in the former Yugoslavia was relatively low compared to other European countries at the time of its dissolution in 1992.",YES;YES;YES;YES;NO,0.5
8,8,66,TEST,When was the iPhone 9 released?,before 2022,,True,one-hop,never-changing,https://en.wikipedia.org/wiki/IPhone#Models,Apple has never released an iPhone 9 nor does it plan to.,,,,,,,,,,," The iPhone 9, also known as the iPhone SE (3rd generation), was not released as of March 2023. The latest iPhone models are the iPhone 13 series."," The iPhone 9, also known as the iPhone SE (3rd generation), was not released as of March 2023. The latest iPhone models are the iPhone 13 series.; The iPhone 9, also known as the iPhone SE (3rd generation), was not released as of March 2023. The latest iPhone models are the iPhone 13 series.; The iPhone 9, also known as the iPhone SE (3rd generation), was not released as of March 2023. The latest iPhone models are the iPhone 13 series.; The iPhone 9, also known as the iPhone SE (3rd generation), was not released as of March 2023. The latest iPhone models are the iPhone 13 series.; The iPhone 9, also known as the iPhone SE (3rd generation), was not released as of March 2023. The latest iPhone models are the iPhone 13 series.; The iPhone 9, also known as the iPhone SE (3rd generation), was not released as of March 2023. The latest iPhone models are the iPhone 13 series.; The iPhone 9, also known as the iPhone SE (3rd generation), was not released as of March 2023. The latest iPhone models are the iPhone 13 series.; The iPhone 9, also known as the iPhone SE (3rd generation), was released by Apple on March 18, 2022.; The iPhone 9, also known as the iPhone SE (3rd generation), was not released as of March 2023. The latest iPhone models are the iPhone 13 series.; The iPhone 9, also known as the iPhone SE (3rd generation), was not released as of March 2023. The latest iPhone models are the iPhone 13 series.","1. As of March 2023, the iPhone 9, also recognized as the iPhone SE (3rd generation), has not seen a release.;2. The iPhone 9, or the iPhone SE (3rd generation), has yet to be unveiled, according to information from March 2023.;3. In March 2023, the iPhone 9, which is another name for the iPhone SE (3rd generation), has not been made available.;4. The iPhone 9, or the iPhone SE (3rd generation), has not been launched, as reported in March 2023.;5. The latest iPhone models, the iPhone 13 series, are currently available, with the iPhone 9, or the iPhone SE (3rd generation), not having been released as of March 2023.",NO;NO;NO;NO;YES,"1. The iPhone 9, also known as the iPhone SE (3rd generation), was released as of March 2023.;2. The latest iPhone models are not the iPhone 13 series.;3. The iPhone 9, also known as the iPhone SE (3rd generation), was the latest iPhone model as of March 2023.;4. The iPhone 9, also known as the iPhone SE (3rd generation), is the iPhone model that was released after the iPhone 13 series.;5. The iPhone 9, also known as the iPhone SE (3rd generation), was released before March 2023.",NO;NO;NO;NO;NO,1.0
9,9,67,TEST,When did cannabis become legal in the United States?,before 2022,,True,one-hop,never-changing,"https://en.wikipedia.org/wiki/Legality_of_cannabis_by_U.S._jurisdiction#:~:text=In%20the%20United%20States%2C,its%20use%20for%20any%20purpose.",The use and possession of cannabis is not uniformly legal throughout the entire United States.,,,,,,,,,,," Cannabis was first legalized for medical use in California in 1996, and for recreational use in Colorado, Washington, and Oregon in 2012. However, federal law still classifies cannabis as a Schedule I drug."," Cannabis was first legalized for medical use in California in 1996, and recreational use was legalized in Colorado, Washington, and Oregon in 2012. However, federal law still classifies cannabis as a Schedule I drug.; Cannabis was first legalized for medical use in California in 1996, and for recreational use in Colorado, Washington, and Oregon in 2012. However, federal law still classifies cannabis as a Schedule I drug.; Cannabis was first legalized for medical use in California in 1996, and recreational use was legalized in Colorado, Washington, and Oregon in 2012. However, federal law still classifies cannabis as a Schedule I drug.; Cannabis was first legalized for medical use in California in 1996, and for recreational use in Colorado, Washington, and Oregon in 2012. However, federal law still classifies cannabis as a Schedule I drug.; Cannabis was first legalized for medical use in California in 1996, and recreational use was legalized in Colorado, Washington, and Oregon in 2012. However, federal law still classifies cannabis as a Schedule I drug.; Cannabis was first legalized for medical use in California in 1996, and for recreational use in Colorado, Washington, and Oregon in 2012. However, federal law still classifies cannabis as a Schedule I drug.; Cannabis was first legalized for medical use in California in 1996, and for recreational use in Colorado, Washington, and Oregon in 2012. However, federal law still considers cannabis illegal.; Cannabis was first legalized for medical use in California in 1996, and for recreational use in Colorado, Washington, and Oregon in 2012, with more states following suit since then.; Cannabis was first legalized for medical use in California in 1996, and recreational use was legalized in Colorado, Washington, and Oregon in 2012. However, federal law still classifies cannabis as a Schedule I drug.; Cannabis was first legalized for medical use in California in 1996, and for recreational use in Colorado, Washington, and Oregon in 2012. However, federal law still classifies cannabis as a Schedule I drug.","1. In 1996, California legalized cannabis for medical purposes, while Colorado, Washington, and Oregon followed suit for recreational use in 2012.;2. The year 1996 marked the legalization of cannabis for medical purposes in California, with Colorado, Washington, and Oregon legalizing it for recreational use in 2012.;3. California legalized cannabis for medical use in 1996, and Colorado, Washington, and Oregon legalized it for recreational use in 2012, but it remains a Schedule I drug under federal law.;4. In 1996, California made cannabis legal for medical use, and Colorado, Washington, and Oregon legalized it for recreational use in 2012, although it is still classified as a Schedule I drug by federal law.;5. The legalization of cannabis for medical use occurred in California in 1996, and for recreational use in Colorado, Washington, and Oregon in 2012, despite it being classified as a Schedule I drug by federal law.",YES;YES;YES;YES;YES,"1. Cannabis was not first legalized for medical use in California in 1996.;2. Cannabis was not legalized for recreational use in Colorado, Washington, and Oregon in 2012.;3. Federal law still classifies cannabis as something other than a Schedule I drug.;4. Cannabis is not legal for medical use in California as of 1996.;5. Cannabis is not legal for recreational use in Colorado, Washington, and Oregon as of 2012.",NO;NO;NO;NO;NO,0.0
