,Unnamed: 0.1,Unnamed: 0,id,split,question,effective_year,next_review,false_premise,num_hops,fact_type,source,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,note,extended_answer_0,extended_answer_1,extended_answer_2,extended_answer_3,extended_answer_4,extended_answer_5,extended_answer_6,extended_answer_7,extended_answer_8,extended_answer_9,base_response,synonyms,synonym_responses,antonyms,antonym_responses
0,0,0,324,TEST,When did Elon Musk officially become Twitter's owner?,before 2022,,False,one-hop,never-changing,"https://en.wikipedia.org/wiki/Twitter,_Inc.#List_of_CEOs:~:text=On%20October%2027%2C%202022%2C%20Elon%20Musk%20closed%20a%20deal%20to%20purchase%20the%20company","Oct 27, 2022","October 27, 2022",27 Oct 2022,27 October 2022,10/27/2022,10-27-2022,27/10/2022,27-10-2022,2022/10/27,2022-10-27,,"Elon Musk officially became Twitter's owner on Oct 27, 2022, marking a significant milestone in his career and influence in the tech industry.","Elon Musk officially became Twitter's owner on October 27, 2022, marking a significant milestone in his career and influence in the tech industry.",Elon Musk officially became Twitter's owner on 27 Oct 2022.,Elon Musk officially became Twitter's owner on 27 October 2022.,Elon Musk officially became Twitter's owner on 10/27/2022.,Elon Musk officially became Twitter's owner on 10-27-2022.,Elon Musk officially became Twitter's owner on 27/10/2022.,Elon Musk officially became Twitter's owner on 27-10-2022.,"Elon Musk officially became Twitter's owner on October 27, 2022.","Elon Musk officially became Twitter's owner on October 27, 2022.","Elon Musk officially became Twitter's owner on October 27, 2022, after completing his $44 billion acquisition of the social media platform.","1. Elon Musk officially took over Twitter on October 27, 2022, following the successful completion of his $44 billion purchase of the social media giant.;2. On October 27, 2022, Elon Musk officially became the proprietor of Twitter after finalizing his $44 billion acquisition of the platform.;3. Elon Musk officially assumed control of Twitter on October 27, 2022, after completing his $44 billion takeover of the social media company.;4. Elon Musk officially became the owner of Twitter on October 27, 2022, after concluding his $44 billion acquisition of the social media platform.;5. Elon Musk officially gained ownership of Twitter on October 27, 2022, after successfully completing his $44 billion purchase of the social media giant.",YES;YES;YES;YES;YES,"1. Elon Musk did not officially become Twitter's owner on October 27, 2022.;2. Elon Musk did not officially become Twitter's owner after completing his $44 billion acquisition of the social media platform.;3. Elon Musk did not officially become Twitter's owner.;4. October 27, 2022, was not the date when Elon Musk officially became Twitter's owner.;5. Elon Musk did not officially become Twitter's owner through his $44 billion acquisition of the social media platform.",NO;NO;NO;NO;NO
1,1,1,325,TEST,Who killed the former Japanese Prime Minister Shinzo Abe?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Shinzo_Abe#:~:text=A%2041%2Dyear%2Dold%20man%20named%20Tetsuya%20Yamagami%2C%20a%20former%20JMSDF%20member%2C%20was%20immediately%20arrested%20and%20later%20confessed%20to%20local%20police.,Tetsuya Yamagami,,,,,,,,,,,Tetsuya Yamagami is the person who killed the former Japanese Prime Minister Shinzo Abe.,,,,,,,,,,"Former Japanese Prime Minister Shinzo Abe was assassinated on July 8, 2022, by Tetsuya Yamagami, a 41-year-old man who shot Abe with a homemade gun while Abe was campaigning for a parliamentary election in Nara, Japan.","1. Tetsuya Yamagami, a 41-year-old man, brutally murdered former Japanese Prime Minister Shinzo Abe on July 8, 2022, in Nara, Japan, while Abe was campaigning for a parliamentary election.;2. Former Japanese Prime Minister Shinzo Abe was brutally slain on July 8, 2022, by Tetsuya Yamagami, a 41-year-old man, in Nara, Japan, during a parliamentary election campaign.;3. Tetsuya Yamagami, a 41-year-old man, took the life of former Japanese Prime Minister Shinzo Abe on July 8, 2022, in Nara, Japan, while Abe was campaigning for a parliamentary election.;4. Former Japanese Prime Minister Shinzo Abe was assassinated on July 8, 2022, by Tetsuya Yamagami, a 41-year-old man, in Nara, Japan, during a parliamentary election campaign.;5. Tetsuya Yamagami, a 41-year-old man, ended the life of former Japanese Prime Minister Shinzo Abe on July 8, 2022, in Nara, Japan, while Abe was campaigning for a parliamentary election.",YES;NO;NO;NO;NO,"1. Former Japanese Prime Minister Shinzo Abe was not assassinated on July 8, 2022.;2. Tetsuya Yamagami did not assassinate former Japanese Prime Minister Shinzo Abe.;3. Former Japanese Prime Minister Shinzo Abe was not killed by Tetsuya Yamagami.;4. Former Japanese Prime Minister Shinzo Abe was not shot by a homemade gun.;5. Tetsuya Yamagami did not shoot former Japanese Prime Minister Shinzo Abe.",NO;NO;NO;NO;NO
2,2,2,326,TEST,What was the first operational image taken by the James Webb Space Telescope?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Webb%27s_First_Deep_Field#:~:text=Webb%27s%20First%20Deep%20Field%20is%20the%20first%20operational%20image%20taken%20by%20the%20James%20Webb%20Space%20Telescope%20(JWST).,Webb's First Deep Field,,,,,,,,,,,"The first operational image taken by the James Webb Space Telescope was Webb's First Deep Field, which captured a stunning view of distant galaxies.",,,,,,,,,,"The first operational image taken by the James Webb Space Telescope was a picture of the galaxy cluster SMACS 0723, which was released on July 11, 2022, and showcased the telescope's ability to capture detailed images of distant galaxies and galaxy clusters.","1. The James Webb Space Telescope's inaugural image was a snapshot of the galaxy cluster SMACS 0723, unveiled on July 11, 2022, highlighting its capacity to capture high-resolution images of distant galaxies and galaxy clusters.;2. The first operational image captured by the James Webb Space Telescope was a photograph of the galaxy cluster SMACS 0723, which was publicly released on July 11, 2022, and demonstrated the telescope's capability to produce detailed images of distant galaxies and galaxy clusters.;3. The James Webb Space Telescope's first operational image was a picture of the galaxy cluster SMACS 0723, which was made public on July 11, 2022, and showcased the telescope's ability to capture detailed images of distant galaxies and galaxy clusters.;4. The inaugural image taken by the James Webb Space Telescope was a picture of the galaxy cluster SMACS 0723, which was released on July 11, 2022, and demonstrated the telescope's capacity to capture high-resolution images of distant galaxies and galaxy clusters.;5. The James Webb Space Telescope's first operational image was a photograph of the galaxy cluster SMACS 0723, which was unveiled on July 11, 2022, and showcased the telescope's ability to capture detailed images of distant galaxies and galaxy clusters.",YES;YES;YES;YES;YES,"1. The first operational image taken by the James Webb Space Telescope was not a picture of the galaxy cluster SMACS 0723.;2. The James Webb Space Telescope did not release a picture of the galaxy cluster SMACS 0723 as its first operational image.;3. The first operational image taken by the James Webb Space Telescope was not released on July 11, 2022.;4. The James Webb Space Telescope was not able to capture detailed images of distant galaxies and galaxy clusters with its first operational image.;5. The James Webb Space Telescope did not take a picture of the galaxy cluster SMACS 0723 as its first operational image.",NO;NO;NO;NO;NO
3,3,3,327,TEST,Who revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Webb%27s_First_Deep_Field#:~:text=It%20was%20first%20revealed%20to%20the%20public%20during%20an%20event%20on%2011%20July%202022%20by%20U.S.%20President%20Joe%20Biden.,Joe Biden,Joseph Robinette Biden Jr,President Joe Biden,President Biden,U.S. President Joe Biden,,,,,,,"Joe Biden, the President of the United States at the time, revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.",Joseph Robinette Biden Jr revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,President Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,U.S. President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,,,,,,"NASA Administrator Bill Nelson and White House Press Secretary Karine Jean-Pierre revealed the first operational image taken by NASA's James Webb Space Telescope at the White House on July 11, 2022.","1. NASA Administrator Bill Nelson and White House Press Secretary Karine Jean-Pierre unveiled the first operational image taken by NASA's James Webb Space Telescope at the White House on July 11, 2022.;2. At the White House on July 11, 2022, NASA Administrator Bill Nelson and White House Press Secretary Karine Jean-Pierre publicly displayed the first operational image captured by NASA's James Webb Space Telescope.;3. NASA Administrator Bill Nelson and White House Press Secretary Karine Jean-Pierre presented the first operational image taken by NASA's James Webb Space Telescope to the public at the White House on July 11, 2022.;4. On July 11, 2022, NASA Administrator Bill Nelson and White House Press Secretary Karine Jean-Pierre made public the first operational image taken by NASA's James Webb Space Telescope at the White House.;5. NASA Administrator Bill Nelson and White House Press Secretary Karine Jean-Pierre revealed the first operational image captured by NASA's James Webb Space Telescope to the public at the White House on July 11, 2022.",YES;YES;YES;YES;YES,"1. NASA Administrator Bill Nelson and White House Press Secretary Karine Jean-Pierre did not reveal the first operational image taken by NASA's James Webb Space Telescope at the White House.;2. The first operational image taken by NASA's James Webb Space Telescope was not revealed by NASA Administrator Bill Nelson and White House Press Secretary Karine Jean-Pierre at the White House.;3. NASA Administrator Bill Nelson and White House Press Secretary Karine Jean-Pierre did not reveal the first operational image taken by NASA's James Webb Space Telescope at the White House on July 11, 2022.;4. The first operational image taken by NASA's James Webb Space Telescope was not revealed at the White House by NASA Administrator Bill Nelson and White House Press Secretary Karine Jean-Pierre.;5. NASA Administrator Bill Nelson and White House Press Secretary Karine Jean-Pierre did not reveal the first operational image taken by NASA's James Webb Space Telescope.",NO;YES;NO;YES;NO
4,4,4,328,TEST,Who was the first elected female Governor of Massachusetts?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Maura_Healey#:~:text=the%20first%20woman%20elected%20governor%20of%20Massachusetts,Maura Healey,Maura Tracy Healey,,,,,,,,,,Maura Healey was the first elected female Governor of Massachusetts.,Maura Tracy Healey was the first elected female Governor of Massachusetts.,,,,,,,,,"Mildred Virginio Sullivan was the first elected female Governor of Massachusetts, serving from 1975 to 1979.","1. Mildred Virginio Sullivan was the pioneering female leader who became the first elected Governor of Massachusetts, serving from 1975 to 1979.;2. Mildred Virginio Sullivan made history as the inaugural female Governor of Massachusetts, holding office from 1975 to 1979.;3. Mildred Virginio Sullivan was the trailblazing politician who became the first elected female Governor of Massachusetts, serving a four-year term from 1975 to 1979.;4. Mildred Virginio Sullivan broke the glass ceiling as the first elected female Governor of Massachusetts, serving from 1975 to 1979.;5. Mildred Virginio Sullivan was the groundbreaking leader who achieved a milestone by becoming the first elected female Governor of Massachusetts, serving from 1975 to 1979.",NO;NO;NO;NO;NO,1. Mildred Virginio Sullivan was not the first elected female Governor of Massachusetts.;2. The first elected female Governor of Massachusetts was not Mildred Virginio Sullivan.;3. Mildred Virginio Sullivan was not elected as the Governor of Massachusetts.;4. Mildred Virginio Sullivan did not serve as the Governor of Massachusetts from 1975 to 1979.;5. Mildred Virginio Sullivan was not the Governor of Massachusetts.,NO;NO;NO;NO;NO
5,5,5,329,TEST,On what date did Queen Elizabeth II of England die?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Death_and_state_funeral_of_Elizabeth_II#:~:text=8%C2%A0September%C2%A02022%2C%20at%2015%3A10%20(BST)%20(death),"Sep 8, 2022","September 8, 2022",8 Sep 2022,8 September 2022,09/8/2022,09-8-2022,8/09/2022,8-09-2022,2022/09/8,2022-09-8,,"Queen Elizabeth II of England died on September 8, 2022.","Queen Elizabeth II of England died on September 8, 2022, marking the end of an era for the British monarchy.","Queen Elizabeth II of England died on 8 Sep 2022, marking the end of an era for the British monarchy.","Queen Elizabeth II of England died on 8 September 2022, marking the end of an era for the British monarchy.","Queen Elizabeth II of England died on September 8, 2022.","Queen Elizabeth II of England died on September 8, 2022.",Queen Elizabeth II of England died on 8/09/2022.,Queen Elizabeth II of England died on 8-09-2022.,"Queen Elizabeth II of England died on September 8, 2022.","Queen Elizabeth II of England died on September 8, 2022.","Queen Elizabeth II of England is still alive, having been born on April 21, 1926, and currently reigning as the longest-reigning British monarch in history.","1. Queen Elizabeth II of England has not yet passed away, having been born on April 21, 1926, and currently reigning as the longest-reigning British monarch in history.;2. The date of Queen Elizabeth II of England's demise has not been announced, having been born on April 21, 1926, and currently reigning as the longest-reigning British monarch in history.;3. Queen Elizabeth II of England remains alive, having been born on April 21, 1926, and currently reigning as the longest-reigning British monarch in history.;4. Queen Elizabeth II of England has not died, having been born on April 21, 1926, and currently reigning as the longest-reigning British monarch in history.;5. Queen Elizabeth II of England is still living, having been born on April 21, 1926, and currently reigning as the longest-reigning British monarch in history.",NO;NO;NO;YES;NO,"1. Queen Elizabeth II of England is not still alive.;2. Queen Elizabeth II of England has died.;3. Queen Elizabeth II of England is no longer reigning as the longest-reigning British monarch in history.;4. Queen Elizabeth II of England is deceased.;5. Queen Elizabeth II of England has not been born on April 21, 1926.",NO;NO;NO;NO;NO
6,6,6,330,TEST,"Who won the 2022 Nobel Prize in Chemistry from University of Copenhagen, Denmark?",before 2022,,False,one-hop,never-changing,https://www.nobelprize.org/prizes/chemistry/2022/press-release/#:~:text=Morten%20Meldal%0AUniversity%20of%20Copenhagen%2C%20Denmark,Morten Meldal,Morten Peter Meldal,Morten Peter Meldal,,,,,,,,,"Morten Meldal, from the University of Copenhagen, Denmark, won the 2022 Nobel Prize in Chemistry.","Morten Peter Meldal, from the University of Copenhagen, Denmark, won the 2022 Nobel Prize in Chemistry.","Morten Peter Meldal, from the University of Copenhagen, Denmark, won the 2022 Nobel Prize in Chemistry.",,,,,,,,"The 2022 Nobel Prize in Chemistry was awarded to Carolyn R. Bertozzi, Morten Meldal, and Barry Sharpless for the development of click chemistry and bioorthogonal chemistry.","1. Carolyn R. Bertozzi, Morten Meldal, and Barry Sharpless were honored with the 2022 Nobel Prize in Chemistry from University of Copenhagen, Denmark for their pioneering work in click chemistry and bioorthogonal chemistry.;2. The 2022 Nobel Prize in Chemistry was bestowed upon Carolyn R. Bertozzi, Morten Meldal, and Barry Sharpless for their groundbreaking contributions to the fields of click chemistry and bioorthogonal chemistry.;3. Carolyn R. Bertozzi, Morten Meldal, and Barry Sharpless received the 2022 Nobel Prize in Chemistry from University of Copenhagen, Denmark for their innovative research in click chemistry and bioorthogonal chemistry.;4. The 2022 Nobel Prize in Chemistry was awarded to Carolyn R. Bertozzi, Morten Meldal, and Barry Sharpless for their outstanding achievements in the development of click chemistry and bioorthogonal chemistry.;5. Carolyn R. Bertozzi, Morten Meldal, and Barry Sharpless were recognized with the 2022 Nobel Prize in Chemistry from University of Copenhagen, Denmark for their seminal work in click chemistry and bioorthogonal chemistry.",NO;YES;NO;YES;NO,"1. The 2022 Nobel Prize in Chemistry was not awarded to Carolyn R. Bertozzi, Morten Meldal, and Barry Sharpless.;2. Carolyn R. Bertozzi, Morten Meldal, and Barry Sharpless did not win the 2022 Nobel Prize in Chemistry.;3. The 2022 Nobel Prize in Chemistry was not awarded for the development of click chemistry and bioorthogonal chemistry.;4. Carolyn R. Bertozzi, Morten Meldal, and Barry Sharpless did not develop click chemistry and bioorthogonal chemistry.;5. The University of Copenhagen, Denmark did not award the 2022 Nobel Prize in Chemistry.",NO;NO;NO;NO;NO
7,7,7,331,TEST,Who wrote the best novelette of the 2022 Hugo Awards?,before 2022,,False,one-hop,never-changing,https://lithub.com/here-are-the-winners-of-the-2022-hugo-awards/#:~:text=Best%20Novelette%3A%C2%A0%E2%80%9CBots%20of%20the%20Lost%20Ark%E2%80%9D%20by%20Suzanne%20Palmer,Suzanne Palmer,,,,,,,,,,,Suzanne Palmer wrote the best novelette of the 2022 Hugo Awards.,,,,,,,,,,"The winner of the Best Novelette category at the 2022 Hugo Awards was ""There Is No Strange Magic"" by R.F. Kuang.","1. R.F. Kuang was awarded the Best Novelette category at the 2022 Hugo Awards for ""There Is No Strange Magic"".;2. ""There Is No Strange Magic"" by R.F. Kuang took home the prize for Best Novelette at the 2022 Hugo Awards.;3. R.F. Kuang's ""There Is No Strange Magic"" emerged victorious in the Best Novelette category at the 2022 Hugo Awards.;4. ""There Is No Strange Magic"", penned by R.F. Kuang, won the Best Novelette award at the 2022 Hugo Awards.;5. R.F. Kuang's ""There Is No Strange Magic"" was declared the winner of the Best Novelette category at the 2022 Hugo Awards.",NO;NO;NO;NO;NO,"1. R.F. Kuang did not write the best novelette of the 2022 Hugo Awards.;2. ""There Is No Strange Magic"" by R.F. Kuang is not the best novelette of the 2022 Hugo Awards.;3. The winner of the Best Novelette category at the 2022 Hugo Awards was not ""There Is No Strange Magic"" by R.F. Kuang.;4. ""There Is No Strange Magic"" by R.F. Kuang did not win the Best Novelette category at the 2022 Hugo Awards.;5. The best novelette of the 2022 Hugo Awards was not written by R.F. Kuang.",NO;NO;NO;NO;NO
8,8,8,332,TEST,Who was the first player to win more than one FIFA World Cup Golden Ball?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/FIFA_World_Cup_awards#:~:text=At%20the%202022%20FIFA%20World%20Cup%2C%20Lionel%20Messi%20became%20the%20first%20player%20to%20win%20a%20second%20Golden%20Ball.,Lionel Messi,,,,,,,,,,,"Lionel Messi was the first player to win more than one FIFA World Cup Golden Ball, which is awarded to the tournament's best player.",,,,,,,,,,"Pelé is the first player to win more than one FIFA World Cup Golden Ball, having won the award in 1958 and 1970.","1. Pelé holds the distinction of being the initial player to claim the FIFA World Cup Golden Ball on multiple occasions, having received the honor in 1958 and 1970.;2. The inaugural player to win the FIFA World Cup Golden Ball on more than one occasion is Pelé, who achieved this feat in 1958 and 1970.;3. Pelé is the pioneering player to have won the FIFA World Cup Golden Ball on multiple times, with his victories coming in 1958 and 1970.;4. Pelé is the trailblazing player to have won the FIFA World Cup Golden Ball on more than one occasion, having done so in 1958 and 1970.;5. Pelé is the first player to have won the FIFA World Cup Golden Ball on multiple occasions, with his awards being bestowed upon him in 1958 and 1970.",YES;NO;NO;YES;YES,1. Pelé is not the first player to win more than one FIFA World Cup Golden Ball.;2. The first player to win more than one FIFA World Cup Golden Ball is not Pelé.;3. Pelé did not win more than one FIFA World Cup Golden Ball.;4. No player other than Pelé has won more than one FIFA World Cup Golden Ball.;5. Pelé has not won more than one FIFA World Cup Golden Ball.,NO;NO;NO;YES;NO
9,9,9,333,TEST,Who was the first player to score a goal at five FIFA Men's World Cup tournaments?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Cristiano_Ronaldo#International_career:~:text=On%2024%20November%2C%20in%20Portugal%27s%20opening%20match%20against%20Ghana%2C%20Ronaldo%20scored%20a%20penalty%20kick%20and%20became%20the%20first%20male%20player%20to%20score%20in%20five%20different%20World%20Cups.,Cristiano Ronaldo,,,,,,,,,,,"Cristiano Ronaldo was the first player to score a goal at five FIFA Men's World Cup tournaments, showcasing his exceptional talent and longevity in the sport.",,,,,,,,,,"Uwe Seeler, a German footballer, became the first player to score a goal at five FIFA Men's World Cup tournaments, achieving this feat in the 1970 FIFA World Cup.","1. Uwe Seeler, a German footballer, made history by scoring goals at five consecutive FIFA Men's World Cup tournaments, culminating in the 1970 FIFA World Cup.;2. German footballer Uwe Seeler holds the distinction of being the first player to score goals at five FIFA Men's World Cup tournaments, a feat he accomplished during the 1970 FIFA World Cup.;3. Uwe Seeler, a renowned German footballer, became the pioneer by scoring goals at five FIFA Men's World Cup tournaments, with his final achievement coming in the 1970 FIFA World Cup.;4. Uwe Seeler, a German footballer, etched his name in history by being the first player to score goals at five FIFA Men's World Cup tournaments, a remarkable feat he achieved in the 1970 FIFA World Cup.;5. German footballer Uwe Seeler was the trailblazer, scoring goals at five FIFA Men's World Cup tournaments, with his last achievement coming in the 1970 FIFA World Cup.",NO;NO;NO;NO;NO,1. Uwe Seeler was not the first player to score a goal at five FIFA Men's World Cup tournaments.;2. Uwe Seeler did not become the first player to score a goal at five FIFA Men's World Cup tournaments.;3. Uwe Seeler did not achieve this feat in the 1970 FIFA World Cup.;4. Uwe Seeler was not a German footballer.;5. Uwe Seeler did not score a goal at five FIFA Men's World Cup tournaments.,NO;NO;NO;NO;NO
