,Unnamed: 0,Questions,Answers,extended_answer,base_response,synonyms,synonym_responses,antonyms,antonym_responses
0,0,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,Guns N Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective in 1999.,"Guns N' Roses performed a promo for the 1990 movie ""Total Recall"" starring Arnold Schwarzenegger as a former New York Police detective.","1. Guns N' Roses promoted the 1990 film ""Total Recall"" featuring Arnold Schwarzenegger as a retired New York City cop.;2. In 1990, Guns N' Roses endorsed the movie ""Total Recall"" starring Arnold Schwarzenegger as a former NYPD detective.;3. Guns N' Roses did a promotional stint for the 1990 film ""Total Recall"", which starred Arnold Schwarzenegger as a former New York City police officer.;4. The band Guns N' Roses performed a promotional task for the 1990 movie ""Total Recall"", which featured Arnold Schwarzenegger as a former New York Police Department detective.;5. Guns N' Roses participated in a promotional campaign for the 1990 film ""Total Recall"", which starred Arnold Schwarzenegger as a retired New York City police detective.",NO;NO;NO;NO;NO,"1. Guns N' Roses did not perform a promo for the 1990 movie ""Total Recall"" starring Arnold Schwarzenegger as a former New York Police detective.;2. Guns N' Roses did not perform a promo for the movie starring Arnold Schwarzenegger as a former New York Police detective.;3. The 1990 movie ""Total Recall"" starring Arnold Schwarzenegger as a former New York Police detective did not feature a promo by Guns N' Roses.;4. Guns N' Roses did not perform a promo for any movie starring Arnold Schwarzenegger as a former New York Police detective.;5. The movie starring Arnold Schwarzenegger as a former New York Police detective did not feature a promo by Guns N' Roses.",NO;NO;NO;NO;NO
1,1,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","Brown State Fishing Lake is in a country that has a population of 9,984 inhabitants.","Brown State Fishing Lake is located in the United States, which has a population of over 331 million inhabitants as of 2020.","1. The country where Brown State Fishing Lake is situated is home to more than 331 million people as of 2020.;2. The United States, where Brown State Fishing Lake is situated, has a massive population of over 331 million inhabitants as of 2020.;3. With a population exceeding 331 million inhabitants as of 2020, the country where Brown State Fishing Lake is located is the United States.;4. As of 2020, the country where Brown State Fishing Lake is situated, the United States, has a population of more than 331 million people.;5. The country that Brown State Fishing Lake is situated in, the United States, has a population of over 331 million inhabitants as of the year 2020.",NO;NO;NO;YES;YES,"1. Brown State Fishing Lake is not located in the United States, which has a population of over 331 million inhabitants as of 2020.;2. Brown State Fishing Lake is located in the United States, which does not have a population of over 331 million inhabitants as of 2020.;3. Brown State Fishing Lake is located in a country that does not have a population of over 331 million inhabitants as of 2020.;4. Brown State Fishing Lake is not located in a country that has a population of over 331 million inhabitants as of 2020.;5. Brown State Fishing Lake is located in a country that has a population of less than 331 million inhabitants as of 2020.",NO;NO;NO;NO;NO
2,2,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,Badly Drawn Boy has a higher instrument to person ratio compared to Wolf Alice.,"Wolf Alice typically features a higher instrument-to-person ratio, with a typical setup including two guitars, bass, drums, and keyboards, whereas Badly Drawn Boy's solo performances often feature just him and his acoustic guitar.","1. Wolf Alice's live shows typically boast a more extensive instrument-to-person ratio, comprising two guitars, bass, drums, and keyboards, whereas Badly Drawn Boy's solo performances are often limited to just him and his acoustic guitar.;2. In terms of instrumentation, Wolf Alice's performances tend to have a higher instrument-to-person ratio, with a typical setup including two guitars, bass, drums, and keyboards, whereas Badly Drawn Boy's solo shows usually feature just him and his acoustic guitar.;3. Wolf Alice's live performances typically exhibit a higher instrument-to-person ratio, with a setup that often includes two guitars, bass, drums, and keyboards, whereas Badly Drawn Boy's solo performances are often reduced to just him and his acoustic guitar.;4. Wolf Alice's music often features a higher instrument-to-person ratio, with a typical setup including two guitars, bass, drums, and keyboards, whereas Badly Drawn Boy's solo performances are often limited to just him and his acoustic guitar.;5. In comparison to Badly Drawn Boy's solo performances, which typically feature just him and his acoustic guitar, Wolf Alice's live shows tend to have a higher instrument-to-person ratio, with a setup that often includes two guitars, bass, drums, and keyboards.",YES;YES;YES;YES;YES,"1. Badly Drawn Boy's performances typically feature a higher instrument-to-person ratio.;2. Wolf Alice does not typically feature a higher instrument-to-person ratio.;3. Badly Drawn Boy's performances often do not feature just him and his acoustic guitar.;4. Wolf Alice's typical setup does not include two guitars, bass, drums, and keyboards.;5. Badly Drawn Boy's solo performances often do not feature just him and his acoustic guitar.",YES;NO;YES;NO;YES
3,3,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,"The Livesey Hal War Memorial commemorates the fallen of World War II, a war that had over 60 million casualties.","The Livesey Hal War Memorial commemorates the fallen of World War I, which had over 60 million casualties, including both military and civilian losses.","1. The Livesey Hal War Memorial honors the fallen of World War I, which resulted in a staggering 60 million casualties, encompassing both military and civilian losses.;2. The Livesey Hal War Memorial pays tribute to the fallen of World War I, a conflict that claimed over 60 million lives, including both military and civilian losses.;3. The Livesey Hal War Memorial commemorates the fallen of World War I, a global catastrophe that left over 60 million people dead, including both military and civilian losses.;4. The Livesey Hal War Memorial remembers the fallen of World War I, a devastating war that caused over 60 million casualties, including both military and civilian losses.;5. The Livesey Hal War Memorial honors the memory of those who fell in World War I, a war that saw over 60 million people killed or wounded, including both military and civilian losses.",YES;YES;YES;YES;YES,1. The Livesey Hal War Memorial does not commemorate the fallen of World War I.;2. The Livesey Hal War Memorial commemorates the fallen of a war other than World War I.;3. World War I did not have over 60 million casualties.;4. The Livesey Hal War Memorial does not commemorate the fallen of a war with over 60 million casualties.;5. The Livesey Hal War Memorial commemorates the fallen of a war with fewer than 60 million casualties.,NO;NO;NO;NO;NO
4,4,"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with Max Martin, Savan Kotecha, and Ilya Salmanzadeh, who are all talented writers, on her third studio album, Delirium.","Ellie Goulding collaborated with various songwriters and producers on her third studio album Delirium, including Max Martin, Greg Kurstin, and Calvin Harris, among others.","1. Ellie Goulding partnered with multiple songwriters and producers on her third studio album Delirium, including Max Martin, Greg Kurstin, and Calvin Harris, among others.;2. The songstress collaborated with a range of writers and producers on her third studio album Delirium, featuring Max Martin, Greg Kurstin, and Calvin Harris, among others.;3. Ellie Goulding worked alongside various songwriters and producers on her third studio album Delirium, including Max Martin, Greg Kurstin, and Calvin Harris, among others.;4. On her third studio album Delirium, Ellie Goulding collaborated with a diverse group of songwriters and producers, including Max Martin, Greg Kurstin, and Calvin Harris, among others.;5. Ellie Goulding co-created music with multiple writers and producers on her third studio album Delirium, featuring Max Martin, Greg Kurstin, and Calvin Harris, among others.",YES;YES;YES;YES;YES,"1. Ellie Goulding did not collaborate with various songwriters and producers on her third studio album Delirium.;2. Ellie Goulding did not work with Max Martin, Greg Kurstin, and Calvin Harris, among others, on her third studio album Delirium.;3. Ellie Goulding's third studio album Delirium was not worked on by various songwriters and producers.;4. Ellie Goulding did not have Max Martin, Greg Kurstin, and Calvin Harris, among others, as collaborators on her third studio album Delirium.;5. Ellie Goulding's third studio album Delirium was not produced by Max Martin, Greg Kurstin, and Calvin Harris, among others.",NO;NO;NO;NO;NO
5,5,"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,"Based on a True Story... is an album by country music star Blake Shelton, with the single My Eyes.","The album ""Based on a True Story..."" is by American country music star Blake Shelton, and it features the single ""My Eyes"", which is a duet with Miranda Lambert.","1. The album ""Based on a True Story..."" is a notable release by American country music sensation Blake Shelton, which includes the hit duet ""My Eyes"" alongside Miranda Lambert.;2. Blake Shelton's album ""Based on a True Story..."" boasts the popular single ""My Eyes"", a collaborative effort with his then-wife Miranda Lambert.;3. American country music artist Blake Shelton's album ""Based on a True Story..."" features the chart-topping duet ""My Eyes"", sung alongside his then-wife Miranda Lambert.;4. Blake Shelton's album ""Based on a True Story..."" is a notable country music release, which includes the hit single ""My Eyes"", a duet with his then-wife Miranda Lambert.;5. The album ""Based on a True Story..."" by American country music star Blake Shelton is notable for its hit single ""My Eyes"", a duet with his then-wife Miranda Lambert.",YES;NO;NO;NO;NO,"1. The album ""Based on a True Story..."" is not by American country music star Blake Shelton.;2. The album ""Based on a True Story..."" is not by American country music star.;3. The album ""Based on a True Story..."" does not feature the single ""My Eyes"".;4. The single ""My Eyes"" is not a duet with Miranda Lambert.;5. The album ""Based on a True Story..."" is not by a country music star.",NO;NO;NO;NO;NO
6,6,Were the bands Skin Yard and Ostava from the U.S.?,no,"No, neither Skin Yard nor Ostava were from the U.S.","Skin Yard, a grunge band, and Ostava, a post-punk band, were both formed in Seattle, Washington, USA, and were active in the 1980s and 1990s.","1. Skin Yard and Ostava, two notable bands, emerged in Seattle, Washington, USA, and flourished during the 1980s and 1990s.;2. The U.S. was the birthplace of Skin Yard, a grunge band, and Ostava, a post-punk band, both of which were active in the 1980s and 1990s.;3. Skin Yard and Ostava, two influential bands, originated in Seattle, Washington, USA, and had a significant presence in the music scene during the 1980s and 1990s.;4. Skin Yard, a grunge band, and Ostava, a post-punk band, were both founded in Seattle, Washington, USA, and enjoyed a successful run in the 1980s and 1990s.;5. Skin Yard and Ostava, two pioneering bands, were formed in Seattle, Washington, USA, and left a lasting impact on the music world during the 1980s and 1990s.",YES;YES;YES;YES;YES,1. Skin Yard and Ostava were not from the U.S.;2. The bands Skin Yard and Ostava were not from the U.S.;3. Skin Yard and Ostava were not formed in the U.S.;4. Skin Yard and Ostava were not active in the U.S.;5. Skin Yard and Ostava were not American bands,NO;NO;NO;NO;NO
7,7,The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,"The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount in the 2017 film titled ""The Bye Bye Man.""","The youngest daughter of Lady Mary-Gaye Curzon, Georgiana Curzon, stars alongside Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man"".","1. Georgiana Curzon co-stars with Douglas Smith and Lucien Laviscount in the 2017 movie ""The Bye Bye Man"".;2. In the 2017 film ""The Bye Bye Man"", Georgiana Curzon appears alongside Douglas Smith and Lucien Laviscount.;3. Georgiana Curzon, alongside Douglas Smith and Lucien Laviscount, stars in the 2017 film ""The Bye Bye Man"".;4. The 2017 film ""The Bye Bye Man"" features Georgiana Curzon, Douglas Smith, and Lucien Laviscount in its cast.;5. Georgiana Curzon, Douglas Smith, and Lucien Laviscount are the main actors in the 2017 movie ""The Bye Bye Man"".",YES;NO;YES;YES;NO,"1. The youngest daughter of Lady Mary-Gaye Curzon does not star alongside Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man"".;2. Georgiana Curzon does not star alongside Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man"".;3. The 2017 film ""The Bye Bye Man"" does not feature Georgiana Curzon alongside Douglas Smith and Lucien Laviscount.;4. Georgiana Curzon does not star in the 2017 film ""The Bye Bye Man"".;5. The 2017 film ""The Bye Bye Man"" does not star Georgiana Curzon alongside Douglas Smith and Lucien Laviscount.",NO;NO;NO;NO;NO
8,8,When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,"The palace, at which Columba de Dunbar died in 1435, was founded in the late 12th Century.","Columba de Dunbar died in 1500 at the Palace of Holyroodhouse in Edinburgh, Scotland, which was founded in the 12th century.","1. Columba de Dunbar breathed her last in 1500 at the Palace of Holyroodhouse in Edinburgh, Scotland, which was established in the 12th century.;2. The Palace of Holyroodhouse in Edinburgh, Scotland, where Columba de Dunbar passed away in 1500, has its roots in the 12th century.;3. Columba de Dunbar met her demise in 1500 at the Palace of Holyroodhouse in Edinburgh, Scotland, which has a history dating back to the 12th century.;4. Columba de Dunbar's life came to an end in 1500 at the Palace of Holyroodhouse in Edinburgh, Scotland, which was founded during the 12th century.;5. Columba de Dunbar's final moments took place in 1500 at the Palace of Holyroodhouse in Edinburgh, Scotland, which has been standing since the 12th century.",NO;YES;NO;NO;NO,"1. The Palace of Holyroodhouse in Edinburgh, Scotland was not founded in the 12th century.;2. Columba de Dunbar did not die in 1500 at the Palace of Holyroodhouse in Edinburgh, Scotland.;3. The Palace of Holyroodhouse in Edinburgh, Scotland was not the location where Columba de Dunbar died in 1500.;4. Columba de Dunbar did not die at the Palace of Holyroodhouse in Edinburgh, Scotland.;5. The Palace of Holyroodhouse in Edinburgh, Scotland was not the site of Columba de Dunbar's death in 1500.",NO;NO;NO;NO;NO
9,9,The author of Sexual Politics attended which British University?,Oxford,"The author of Sexual Politics attended Oxford, one of the most prestigious universities in Britain.","Dame Kate Millett, the author of Sexual Politics, attended Cornell University in the United States, not a British university.","1. Dame Kate Millett, the author of Sexual Politics, did not attend a British university.;2. The author of Sexual Politics did not receive her education at a British institution.;3. Sexual Politics' author, Dame Kate Millett, did not pursue her academic studies at a British university.;4. Unlike many other notable authors, Dame Kate Millett, the author of Sexual Politics, did not attend a British university.;5. Dame Kate Millett, the author of Sexual Politics, did not have a British university on her academic resume.",NO;NO;NO;YES;NO,1. The author of Sexual Politics attended a British university.;2. The author of Sexual Politics did not attend Cornell University.;3. The author of Sexual Politics attended a university in the United States.;4. The author of Sexual Politics did not attend a British university.;5. Cornell University is not the university attended by the author of Sexual Politics.,YES;NO;NO;NO;NO
