id,split,question,effective_year,next_review,false_premise,num_hops,fact_type,source,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,note,base_response,synonyms,synonym_responses,generated_samples,antonyms,antonym_responses,selfcheck_score
58,TEST,When did President Joe Biden announce his second presidential campaign this year?,before 2022,,True,one-hop,never-changing,https://en.wikipedia.org/wiki/Joe_Biden_2024_presidential_campaign#:~:text=He%20made%20a%20second%20attempt%20during%20the%202008%20Democratic%20Party%20presidential%20primaries.,He made his second presidential campaign during the 2008 Democratic Party presidential primaries already.,,,,,,,,,,,"President Joe Biden announced his second presidential campaign for the 2024 election on April 6, 2023.","1. President Joe Biden revealed his bid for a second presidential term in the 2024 election on April 6, 2023.;2. April 6, 2023, marked the date when President Joe Biden declared his intention to run for a second term in the upcoming 2024 election.;3. President Joe Biden made the announcement for his second run at the presidency in the 2024 election on April 6, 2023.;4. On April 6, 2023, President Joe Biden officially announced his campaign for a second term in the 2024 election.;5. The declaration of President Joe Biden's second bid for the presidency in the 2024 election was made on April 6, 2023.",NO;NOT SURE;NO;NOT SURE;NO,"President Joe Biden announced his second presidential campaign on April 25, 2023.;President Joe Biden announced his second presidential campaign on April 25, 2019.;President Joe Biden announced his second presidential campaign on April 25, 2019.;President Joe Biden officially announced his second presidential campaign in April 25, 2019.;President Joe Biden announced his second presidential campaign for the 2020 election on April 25, 2019.;President Joe Biden announced his second presidential campaign on April 25, 2019.;President Joe Biden announced his second presidential campaign on April 25, 2019.;President Joe Biden announced his second presidential campaign for the 2024 election on April 15, 2023.;President Joe Biden announced his second presidential campaign on April 25, 2019.;President Joe Biden announced his second presidential campaign for the 2024 election on April 6, 2023.","1. President Joe Biden did not announce his second presidential campaign for the 2024 election on April 6, 2023.;2. President Joe Biden did not announce his second presidential campaign for the 2024 election this year.;3. President Joe Biden did not announce his second presidential campaign for the 2024 election.;4. President Joe Biden did not announce his first presidential campaign for the 2024 election on April 6, 2023.;5. President Joe Biden did not announce his second vice-presidential campaign for the 2024 election on April 6, 2023.",NOT SURE;YES;NOT SURE;NOT SURE;YES,0.3
59,TEST,Who won the FIFA Ballon d'Or last year?,before 2022,,True,one-hop,never-changing,https://en.wikipedia.org/wiki/FIFA_Ballon_d%27Or#:~:text=The%20final%20FIFA%20Ballon%20d%27Or%20was%20presented%20to%20Messi%20in%202015.%20Its%20awarding%20bodies%20subsequently%20ended%20their%20partnership,There was no FIFA Ballon d'Or award last year. The final FIFA Ballon d'Or was presented to Messi in 2015.,,,,,,,,,,,Lionel Messi won the FIFA Ballon d'Or last year.,"1. Last year, Lionel Messi emerged victorious in the FIFA Ballon d'Or competition.;2. The recipient of the FIFA Ballon d'Or in the preceding year was Lionel Messi.;3. It was Lionel Messi who claimed the FIFA Ballon d'Or title in the previous year.;4. In the year before this one, Lionel Messi was the triumphant player in the FIFA Ballon d'Or.;5. Lionel Messi was the FIFA Ballon d'Or champion in the last year.",NOT SURE;YES;NO;NO;NOT SURE,"Lionel Messi won the FIFA Ballon d'Or last year.;Lionel Messi won the FIFA Ballon d'Or last year (2021).;Lionel Messi won the FIFA Ballon d'Or last year.;Lionel Messi won the FIFA Ballon d'Or last year, in 2019.;Lionel Messi won the FIFA Ballon d'Or last year.;Lionel Messi won the FIFA Ballon d'Or in 2019.;Lionel Messi won the FIFA Ballon d'Or last year.;The winner of the FIFA Ballon d'Or last year was Lionel Messi.;Lionel Messi won the FIFA Ballon d'Or last year, which was 2021.;Lionel Messi won the FIFA Ballon d'Or last year.","1. Lionel Messi did not win the FIFA Ballon d'Or last year.;2. The winner of the FIFA Ballon d'Or last year was not Lionel Messi.;3. Last year, the FIFA Ballon d'Or was not won by Lionel Messi.;4. It was not Lionel Messi who won the FIFA Ballon d'Or last year.;5. The FIFA Ballon d'Or last year was not won by Lionel Messi.",NO;YES;NO;YES;YES,0.0
60,TEST,Will there be 29 days in February in the leap year of 2500?,before 2022,,True,one-hop,never-changing,https://www.timeanddate.com/date/leapyear.html#:~:text=According%20to%20these%20rules%2C%20the%20years%202000%20and%202400%20are%20leap%20years%2C%0Awhile%201800%2C%201900%2C%202100%2C%202200%2C%202300%2C%20and%202500%20are%20not%20leap%20years.,2500 is not a leap year.,,,,,,,,,,,"In the leap year of 2500, February will still have 29 days as it will be a leap year according to the Gregorian calendar rules.","1. February in the year 2500, being a leap year as per the Gregorian calendar regulations, will indeed consist of 29 days.;2. The year 2500 will observe February with an extra day, making it a leap year in accordance with the Gregorian calendar.;3. February will retain 29 days in the leap year of 2500, following the criteria set by the Gregorian calendar for leap years.;4. The leap year of 2500 will adhere to the Gregorian calendar guidelines, resulting in February encompassing 29 days.;5. As per the Gregorian calendar rules, the leap year 2500 will see February extending to 29 days.",YES;NO;NO;YES;YES,"No, February will have 28 days in the leap year of 2500 just like most leap years, as February has 29 days in a leap year only if the year is divisible by 4, except for years that are divisible by 100 but not by 400.;No, there will not be 29 days in February in the leap year of 2500 because it will not be a leap year as leap years are skipped at the turn of each century unless divisible by 400.;In the year 2500, February will have 29 days due to being a leap year divisible by 400, which adjusts the calendar to align with Earth's orbit around the sun.;No, there will not be 29 days in February in the leap year of 2500 as it will not be a leap year.;No, in the leap year of 2500, February will have 28 days as it will not be a leap year.;Yes, there will be 29 days in February in the leap year of 2500 because every 4 years February has 29 days in a leap year to account for the Earth's orbit around the sun taking approximately 365.25 days.;In the leap year of 2500, February will have 29 days since the year 2500 is a leap year, occurring once every four years to account for the Earth's orbit around the Sun taking approximately 365.25 days.;Yes, in the leap year of 2500, February will have 29 days.;Yes, there will be 29 days in February in the leap year of 2500 as it will be divisible by 4 but not by 100 unless it is also divisible by 400.;In the leap year of 2500, February will still have 29 days as it will be a leap year according to the Gregorian calendar rules.","1. In the leap year of 2500, February will not have 29 days.;2. February will not have 29 days in the leap year of 2500 according to the Gregorian calendar rules.;3. The leap year of 2500 will not have February with 29 days.;4. According to the Gregorian calendar rules, in the leap year of 2500, February will not be a leap year with 29 days.;5. The leap year of 2500 will not abide by the Gregorian calendar rules regarding February having 29 days.",YES;YES;YES;YES;YES,0.4
61,TEST,How many home runs did Benjamin Ruth hit in the MLB?,before 2022,,True,one-hop,never-changing,,Benjamin Ruth is not a baseball player in the MLB.,,,,,,,,,,,"Benjamin ""Babe"" Ruth hit 714 home runs in his Major League Baseball (MLB) career.","1. Benjamin Ruth achieved a total of 714 home runs during his time in Major League Baseball (MLB).;2. Babe Ruth successfully smashed 714 home runs throughout his Major League Baseball (MLB) tenure.;3. The number of home runs struck by Benjamin ""Babe"" Ruth in the MLB amounts to 714.;4. Benjamin Ruth's performance in Major League Baseball (MLB) saw him hitting a remarkable 714 home runs.;5. 714 home runs were recorded by Benjamin ""Babe"" Ruth in his Major League Baseball (MLB) career.",NO;YES;YES;NO;NOT SURE,"Benjamin Ruth, also known as Babe Ruth, hit 714 home runs during his Major League Baseball (MLB) career.;Benjamin ""Babe"" Ruth hit a total of 714 home runs during his Major League Baseball career.;Benjamin ""Babe"" Ruth hit a total of 714 home runs during his career in Major League Baseball.;Benjamin Ruth, better known as Babe Ruth, hit 714 home runs in Major League Baseball.;Benjamin Ruth, also known as Babe Ruth, hit 714 home runs in his MLB career.;Benjamin Ruth, also known as Babe Ruth, hit 714 home runs in the MLB during his career.;Benjamin Ruth, commonly known as Babe Ruth, hit 714 home runs during his Major League Baseball career.;Benjamin ""Babe"" Ruth hit 714 home runs in his MLB career.;Benjamin Ruth, more famously known as Babe Ruth, hit 714 home runs during his Major League Baseball career.;Benjamin ""Babe"" Ruth hit 714 home runs in his Major League Baseball (MLB) career.","1. Benjamin ""Babe"" Ruth did not hit 714 home runs in his Major League Baseball (MLB) career.;2. Benjamin Ruth hit fewer than 714 home runs in his Major League Baseball (MLB) career.;3. Not all of the 714 home runs hit in Major League Baseball (MLB) career belonged to Benjamin ""Babe"" Ruth.;4. Benjamin ""Babe"" Ruth did not hit home runs in the MLB.;5. The number of home runs hit by Benjamin Ruth in his MLB career is not 714.",NO;YES;YES;NO;YES,0.0
62,TEST,When did Lance Armstrong land on the moon?,before 2022,,True,one-hop,never-changing,https://en.wikipedia.org/wiki/Lance_Armstrong#:~:text=Lance%20Edward%20Armstrong%20(n%C3%A9%20Gunderson%3B%20born%20September%2018%2C%201971)%5B4%5D%20is%20an%20American%20former%20professional%20road%20racing%20cyclist.,Lance Armstrong is not an astronaut.,,,,,,,,,,,Lance Armstrong is not the astronaut who landed on the moon; it was Neil Armstrong who first set foot on the moon in 1969 during the Apollo 11 mission.,"1. Neil Armstrong, not Lance Armstrong, stepped onto the moon in 1969 during the Apollo 11 mission.;2. The astronaut who actually landed on the moon in 1969 was Neil Armstrong, not Lance Armstrong.;3. It was Neil Armstrong, not Lance Armstrong, who made the historic moon landing in 1969.;4. In 1969, during the Apollo 11 mission, it was Neil Armstrong, not Lance Armstrong, who set foot on the moon.;5. The individual who accomplished the moon landing in 1969 was Neil Armstrong, not Lance Armstrong.",YES;YES;YES;YES;YES,"Lance Armstrong never landed on the moon, as he is a retired professional cyclist and not an astronaut.;Lance Armstrong, the cyclist, never landed on the moon; he is not to be confused with Neil Armstrong, the astronaut who was the first person to walk on the moon in 1969.;Lance Armstrong, the American cyclist, has never landed on the moon; he is known for winning the Tour de France multiple times before his doping scandal.;Lance Armstrong did not land on the moon; it was NASA astronaut Neil Armstrong who first walked on the moon during the Apollo 11 mission on July 20, 1969.;Lance Armstrong never landed on the moon; he is a retired American professional road racing cyclist.;Lance Armstrong, the American former professional cyclist, never landed on the moon - only astronauts from the Apollo missions did.;Lance Armstrong, the cyclist, has never been to the moon; it was astronaut Neil Armstrong who landed on the moon in 1969.;Lance Armstrong, the former professional cyclist, has never landed on the moon; he is known for winning the Tour de France multiple times.;Lance Armstrong, the American cyclist, did not land on the moon; Neil Armstrong, the astronaut, was the first person to walk on the moon on July 20, 1969.;Lance Armstrong is not the astronaut who landed on the moon; it was Neil Armstrong who first set foot on the moon in 1969 during the Apollo 11 mission.","1. Lance Armstrong is the astronaut who landed on the moon, not Neil Armstrong.;2. Neil Armstrong is not the astronaut who first set foot on the moon in 1969.;3. The Apollo 11 mission did not involve Neil Armstrong landing on the moon.;4. Neil Armstrong did not make history by landing on the moon in 1969.;5. The statement that Neil Armstrong landed on the moon during the Apollo 11 mission in 1969 is incorrect.",NO;NO;NO;NO;NO,0.0
63,TEST,On what date did the 1944 German spelling reform go into effect in schools across the country?,before 2022,,True,one-hop,never-changing,https://en.wikipedia.org/wiki/German_orthography_reform_of_1944#:~:text=Although%20one%20million%20copies%20of%20the%20new%20rules%20were%20printed%20by%201944%20for%20school%20use%2C%20the%20reform%20was%20never%20introduced.,The reform was never introduced.,,,,,,,,,,,"The 1944 German spelling reform, which simplified rules for word formation and spelling, went into effect on July 1, 1944.","1. The simplified regulations for word construction and orthography of the 1944 German spelling reform took effect on July 1, 1944.;2. July 1, 1944, marked the commencement of the 1944 German spelling reform that eased regulations on word creation and spelling.;3. The initiation of the 1944 German spelling reform, streamlining rules on word structure and spelling, occurred on July 1, 1944.;4. The 1944 German spelling reform, streamlining guidelines for word formation and spelling, commenced on July 1, 1944.;5. On July 1, 1944, the 1944 German spelling reform, which simplified rules regarding word construction and spelling, was put into effect across schools.",YES;NO;NO;NO;YES,"The 1944 German spelling reform went into effect in schools across the country on August 1, 1944.;The 1944 German spelling reform went into effect in schools across the country on August 1, 1944.;The 1944 German spelling reform went into effect on August 1st, 1944 in schools across the country.;The 1944 German spelling reform went into effect on 1 August 1944 in schools across the country.;The 1944 German spelling reform went into effect on August 1, 1944 in schools across the country.;The 1944 German spelling reform went into effect on August 1, 1944.;The 1944 German spelling reform did not go into effect in schools across the country as it was never fully implemented due to the disruption caused by World War II.;The 1944 German spelling reform went into effect in schools across the country on July 29, 1944.;The 1944 German spelling reform went into effect on August 1, 1944 in schools across the country.;The 1944 German spelling reform, which simplified rules for word formation and spelling, went into effect on July 1, 1944.","1. The 1944 German spelling reform did not go into effect on July 1, 1944.;2. The 1944 German spelling reform did not simplify rules for word formation and spelling.;3. Schools across the country did not implement the 1944 German spelling reform on July 1, 1944.;4. The 1944 German spelling reform did not go into effect in schools across the country.;5. July 1, 1944, was not the date when the 1944 German spelling reform went into effect.",YES;YES;NO;NOT SURE;YES,0.3
64,TEST,How many times have the New York Jets lost to the Chicago Bulls?,before 2022,,True,one-hop,never-changing,"https://en.wikipedia.org/wiki/New_York_Jets#:~:text=The%20New%20York%20Jets%20are%20a%20professional%20American%20football%20team
https://en.wikipedia.org/wiki/Chicago_Bulls#:~:text=The%20Chicago%20Bulls%20are%20an%20American%20professional%20basketball%20team",The two teams have never played because the Jets are a football team and the Bulls are a basketball team.,,,,,,,,,,,The New York Jets and Chicago Bulls have never played against each other in a competitive game as they are from different sports leagues (NFL and NBA).,"1. The New York Jets and Chicago Bulls have never faced each other competitively due to their distinct sports leagues.;2. Competitive matchups between the New York Jets and Chicago Bulls have not occurred, given their separate leagues.;3. Encounters in competitive games between the New York Jets and Chicago Bulls have not taken place due to their affiliations with different sports leagues.;4. The New York Jets have never competed against the Chicago Bulls in a formal game because they belong to different professional sports leagues.;5. The lack of competitive games between the New York Jets and Chicago Bulls is due to their representation in separate sports leagues.",YES;YES;YES;YES;YES,"The New York Jets have never played against the Chicago Bulls, as they are from different sports leagues (football and basketball).;The New York Jets, an NFL team, have never played against the Chicago Bulls, an NBA team, as they are in different sports leagues.;The New York Jets, an NFL team, have never played against the Chicago Bulls, an NBA team, as they are in different sports leagues.;The New York Jets, an NFL team, have never played against the Chicago Bulls, an NBA team, as they are from different leagues.;The New York Jets, an NFL team, have never played against the Chicago Bulls, an NBA team, as they are from different sports leagues.;The New York Jets, an NFL football team, have never played against the Chicago Bulls, an NBA basketball team, as they are in different sports leagues.;The New York Jets, an American football team, have never faced the Chicago Bulls, a basketball team, as they belong to different sports leagues.;The New York Jets, a football team, have never played against the Chicago Bulls, a basketball team, as they are in different sports leagues.;The New York Jets, an American football team, have never played against the Chicago Bulls, a basketball team, as they belong to different sports leagues.;The New York Jets and Chicago Bulls have never played against each other in a competitive game as they are from different sports leagues (NFL and NBA).",1. The New York Jets and Chicago Bulls have played against each other in a competitive game.;2. The New York Jets have lost to the Chicago Bulls in multiple matchups.;3. The New York Jets have played against the Chicago Bulls in their respective sports leagues.;4. The New York Jets have faced off against the Chicago Bulls in a competitive game.;5. The New York Jets and Chicago Bulls have a history of competition in various games.,NO;NOT SURE;NO;NOT SURE;NOT SURE,0.0
65,TEST,How many members of parliament in Yugoslavia are women?,before 2022,,True,one-hop,never-changing,"https://en.wikipedia.org/wiki/Yugoslavia#:~:text=Jugoslavija%0A%D0%88%D1%83%D0%B3%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D0%B8%D1%98%D0%B0-,1918%E2%80%931992,-1941%E2%80%931945%3A",The country of Yugoslavia no longer exists since it broke up into separate countries in 1992.,,,,,,,,,,,"As of its dissolution in the 1990s, the exact number of female members of parliament in Yugoslavia fluctuated between elections, but on average, women made up around 15-20% of the country's parliament.","1. During the breakup of Yugoslavia in the 1990s, the approximate percentage of female parliamentarians fluctuated between elections, averaging at about 15-20%.;2. In Yugoslavia before its dissolution in the 1990s, the number of women in parliament varied with elections, but typically comprised around 15-20% of the members.;3. Women constituted approximately 15-20% of the Yugoslav parliament on average, amidst the country's dissolution in the 1990s.;4. The percentage of female parliament members in Yugoslavia hovered around 15-20% on average during the period leading to its breakup in the 1990s.;5. The number of women holding parliamentary seats in Yugoslavia fluctuated across elections, averaging between 15-20% during its dissolution in the 1990s.",YES;YES;YES;YES;YES,"In Yugoslavia, the proportion of women in the National Assembly varied over the years, with the highest being reported at 30% in the late 1980s.;As of 2021, data is not available as Yugoslavia no longer exists; however, approximately 14% of parliamentary seats in the former Yugoslavia were held by women prior to its dissolution in the 1990s.;As of 2021, in Yugoslavia, the exact number of women serving as members of parliament is not applicable as Yugoslavia dissolved in the early 1990s and is no longer a country.;As of the last data available, there were 30% women in the Yugoslav parliament.;As of the most recent data, at the time of the breakup in the early 1990s, there were no women serving as members of parliament in Yugoslavia.;In Yugoslavia, the number of female members of parliament varied over the years but it averaged around 20% during the existence of the country from 1918 to 2003.;In Yugoslavia before its dissolution, there were 21 female members of parliament out of a total of 250 members by the late 1980s.;As of 2021, there are no specific figures available for the exact number of women members of parliament in Yugoslavia as the country ceased to exist in 2003 following the breakup of the federation.;In the last parliamentary elections of Yugoslavia held in 2000, women composed about 18.8% of the parliament members.;As of its dissolution in the 1990s, the exact number of female members of parliament in Yugoslavia fluctuated between elections, but on average, women made up around 15-20% of the country's parliament.",1. Women consistently made up more than 20% of Yugoslavia's parliament.;2. The proportion of women in Yugoslavia's parliament remained stable at around 50%.;3. There were usually more men than women in Yugoslavia's parliament.;4. Yugoslavia's parliament never had women representing less than 80% of its members.;5. Women were the majority in Yugoslavia's parliament throughout its existence.,NO;NOT SURE;NOT SURE;NO;NOT SURE,0.4
66,TEST,When was the iPhone 9 released?,before 2022,,True,one-hop,never-changing,https://en.wikipedia.org/wiki/IPhone#Models,Apple has never released an iPhone 9 nor does it plan to.,,,,,,,,,,,There was no iPhone 9 released by Apple; the iPhone 8 was followed by the iPhone X in 2017.,"1. Apple did not release an iPhone 9; it was succeeded by the iPhone X in 2017.;2. The iPhone 9 was not launched by Apple; instead, the iPhone X was introduced in 2017.;3. The release of iPhone 9 did not occur; Apple moved on to the iPhone X in 2017.;4. Apple skipped the iPhone 9 release, opting for the iPhone X in 2017.;5. Contrary to expectations, Apple did not unveil an iPhone 9, proceeding directly to the iPhone X in 2017.",YES;YES;YES;YES;YES,"The iPhone 9 was not released by Apple; after the iPhone 8, the next models released were the iPhone X, XS, XR, and then the iPhone 11 series.;There was no iPhone 9 released by Apple after iPhone 8 and before iPhone X, as they released iPhone 8 directly followed by iPhone X in 2017.;There is no iPhone 9, the iPhone models released after the iPhone 8 were iPhone X, iPhone XS, iPhone XR, and so on.;There is no iPhone 9 as Apple skipped the number 9 and released iPhone 8 followed by iPhone X in 2017.;The iPhone 9 was never released by Apple; instead, the company opted to release the iPhone X after the iPhone 8.;There has not been an iPhone 9 released by Apple; the iPhone models after the iPhone 8 were iPhone X, iPhone XR, iPhone XS, and iPhone 11.;There is no iPhone 9 model released by Apple; the company released the iPhone 8 and iPhone X in 2017.;There is no iPhone 9 released by Apple; the numerical sequence skipped from iPhone 8 to iPhone X (10).;The iPhone 9 was never released; Apple skipped directly from the iPhone 8 to the iPhone X (10) in 2017.;There was no iPhone 9 released by Apple; the iPhone 8 was followed by the iPhone X in 2017.",1. Apple did release an iPhone 9; it did not skip from the iPhone 8 to the iPhone X in 2017.;2. The iPhone 9 was released by Apple; it was not skipped in favor of the iPhone X in 2017.;3. Apple did not skip the release of the iPhone 9 after the iPhone 8; it was actually launched.;4. The iPhone X was not released by Apple after the iPhone 8; it was actually the iPhone 9 that came out.;5. The iPhone 9 was not missing from Apple's lineup; it was not followed by the iPhone X in 2017.,NO;NO;YES;NO;NO,0.0
67,TEST,When did cannabis become legal in the United States?,before 2022,,True,one-hop,never-changing,"https://en.wikipedia.org/wiki/Legality_of_cannabis_by_U.S._jurisdiction#:~:text=In%20the%20United%20States%2C,its%20use%20for%20any%20purpose.",The use and possession of cannabis is not uniformly legal throughout the entire United States.,,,,,,,,,,,"Cannabis was first legalized for medical use in California in 1996, followed by legalization for recreational use in multiple states starting in 2012.","1. The legalization of cannabis for medical use in California dates back to 1996, while various states began allowing recreational use in 2012.;2. California made history by legalizing cannabis for medical purposes in 1996, leading the way for several states to permit recreational use starting in 2012.;3. Legalization of cannabis for medical requirements commenced in California in 1996, with other states moving towards allowing recreational use from 2012 onward.;4. As of 1996, California sanctioned the use of cannabis for medical treatments, with several states opting to follow suit for recreational purposes beginning in 2012.;5. The legalization journey began in 1996 when California approved cannabis for medical applications, paving the way for multiple states to authorize recreational use from 2012 onwards.",YES;YES;YES;YES;YES,"Cannabis became legal for medicinal use when California passed Proposition 215 in 1996, making it the first state to do so.;Cannabis became legal for medical use in the United States with California being the first state to legalize it in 1996, while for recreational use, the first states to legalize it were Colorado and Washington in 2012.;Cannabis became legal for recreational use in the United States starting with Colorado and Washington in 2012, and gradually more states followed suit.;Cannabis became legal for medicinal purposes in some states starting in the 1990s, with full recreational legalization occurring in various states since 2012.;Cannabis became fully legal for recreational use in several states in the United States starting in 2012, with Colorado and Washington being the first to legalize it.;Cannabis started to become legal in the United States during the late 1990s when California became the first state to legalize medical marijuana in 1996.;Cannabis became legal for medical use in some states in the United States starting in 1996, with California being the first to legalize it.;Cannabis became legal in some form in the United States starting with California in 1996 for medical use, and recreational use in certain states starting with Colorado in 2012.;Cannabis became legal for medicinal use in California in 1996 and for recreational use in Colorado and Washington in 2012.;Cannabis was first legalized for medical use in California in 1996, followed by legalization for recreational use in multiple states starting in 2012.",1. Cannabis has never been legalized for medical or recreational use in the United States.;2. The first legalization of cannabis did not occur in California for medical use in 1996.;3. Cannabis was not legalized for recreational use in multiple states starting in 2012.;4. The legalization of cannabis in California for medical use did not take place in 1996.;5. Recreational use of cannabis has never been legalized in multiple states from 2012 onwards.,NOT SURE;YES;YES;YES;NO,0.0
