,Unnamed: 0.1,Unnamed: 0,id,split,question,effective_year,next_review,false_premise,num_hops,fact_type,source,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,note,extended_answer_0,extended_answer_1,extended_answer_2,extended_answer_3,extended_answer_4,extended_answer_5,extended_answer_6,extended_answer_7,extended_answer_8,extended_answer_9,base_response,synonyms,synonym_responses,antonyms,antonym_responses
0,0,0,324,TEST,When did Elon Musk officially become Twitter's owner?,before 2022,,False,one-hop,never-changing,"https://en.wikipedia.org/wiki/Twitter,_Inc.#List_of_CEOs:~:text=On%20October%2027%2C%202022%2C%20Elon%20Musk%20closed%20a%20deal%20to%20purchase%20the%20company","Oct 27, 2022","October 27, 2022",27 Oct 2022,27 October 2022,10/27/2022,10-27-2022,27/10/2022,27-10-2022,2022/10/27,2022-10-27,,"Elon Musk officially became Twitter's owner on Oct 27, 2022, marking a significant milestone in his career and influence in the tech industry.","Elon Musk officially became Twitter's owner on October 27, 2022, marking a significant milestone in his career and influence in the tech industry.",Elon Musk officially became Twitter's owner on 27 Oct 2022.,Elon Musk officially became Twitter's owner on 27 October 2022.,Elon Musk officially became Twitter's owner on 10/27/2022.,Elon Musk officially became Twitter's owner on 10-27-2022.,Elon Musk officially became Twitter's owner on 27/10/2022.,Elon Musk officially became Twitter's owner on 27-10-2022.,"Elon Musk officially became Twitter's owner on October 27, 2022.","Elon Musk officially became Twitter's owner on October 27, 2022.", Elon Musk did not officially become Twitter's owner as of March 2023. The acquisition is still pending regulatory approval.,"1. As of March 2023, Elon Musk has not yet officially acquired ownership of Twitter, as the deal is still under review by regulatory bodies.;2. The acquisition of Twitter by Elon Musk has not been finalized as of March 2023, as it is still awaiting approval from regulatory authorities.;3. Elon Musk's ownership of Twitter has not been officially confirmed as of March 2023, as the deal is still subject to regulatory approval.;4. The deal for Elon Musk to become the owner of Twitter has not been completed as of March 2023, as it is still under review by regulatory bodies.;5. The acquisition of Twitter by Elon Musk has not been finalized, and as of March 2023, he has not officially become the owner, as the deal is still pending regulatory approval.",YES;YES;NO;YES;YES,1. Elon Musk officially became Twitter's owner as of March 2023.;2. The acquisition of Twitter by Elon Musk has already received regulatory approval.;3. Elon Musk is currently not in the process of acquiring Twitter.;4. Regulatory approval for Elon Musk to own Twitter has been granted.;5. Twitter is no longer in the process of being acquired by Elon Musk.,NO;NOT SURE;NO;NOT SURE;YES
1,1,1,325,TEST,Who killed the former Japanese Prime Minister Shinzo Abe?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Shinzo_Abe#:~:text=A%2041%2Dyear%2Dold%20man%20named%20Tetsuya%20Yamagami%2C%20a%20former%20JMSDF%20member%2C%20was%20immediately%20arrested%20and%20later%20confessed%20to%20local%20police.,Tetsuya Yamagami,,,,,,,,,,,Tetsuya Yamagami is the person who killed the former Japanese Prime Minister Shinzo Abe.,,,,,,,,,," Tetsuya Yamagami, a 41-year-old man, fatally shot former Japanese Prime Minister Shinzo Abe on July 8, 2022.","1. Tetsuya Yamagami, a 41-year-old individual, mortally wounded the former Japanese Prime Minister Shinzo Abe on July 8, 2022, through gunfire.;2. On July 8, 2022, the former Japanese Prime Minister Shinzo Abe was fatally shot by Tetsuya Yamagami, a 41-year-old man.;3. Tetsuya Yamagami, a 41-year-old man, was responsible for the fatal shooting of the former Japanese Prime Minister Shinzo Abe on July 8, 2022.;4. The former Japanese Prime Minister Shinzo Abe was fatally shot by Tetsuya Yamagami, a 41-year-old individual, on July 8, 2022.;5. Tetsuya Yamagami, a 41-year-old man, carried out the fatal shooting of the former Japanese Prime Minister Shinzo Abe on July 8, 2022.",YES;YES;YES;NO;YES,"1. A 41-year-old man did not fatally shoot former Japanese Prime Minister Shinzo Abe on July 8, 2022.;2. Former Japanese Prime Minister Shinzo Abe was not fatally shot by Tetsuya Yamagami, a 41-year-old man, on July 8, 2022.;3. Tetsuya Yamagami, a 41-year-old man, did not kill former Japanese Prime Minister Shinzo Abe on July 8, 2022.;4. On July 8, 2022, former Japanese Prime Minister Shinzo Abe was not killed by anyone.;5. The person who fatally shot former Japanese Prime Minister Shinzo Abe on July 8, 2022, was not Tetsuya Yamagami, a 41-year-old man.",NO;NO;NO;NO;NO
2,2,2,326,TEST,What was the first operational image taken by the James Webb Space Telescope?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Webb%27s_First_Deep_Field#:~:text=Webb%27s%20First%20Deep%20Field%20is%20the%20first%20operational%20image%20taken%20by%20the%20James%20Webb%20Space%20Telescope%20(JWST).,Webb's First Deep Field,,,,,,,,,,,"The first operational image taken by the James Webb Space Telescope was Webb's First Deep Field, which captured a stunning view of distant galaxies.",,,,,,,,,, The first operational image taken by the James Webb Space Telescope was a deep field image of the distant galaxy cluster SMACS 0723.,1. The initial operational image captured by the James Webb Space Telescope was a deep field image of the distant galaxy cluster SMACS 0723.;2. The first operational photograph taken by the James Webb Space Telescope depicted a deep field image of the distant galaxy cluster SMACS 0723.;3. The James Webb Space Telescope's first operational image was a deep field image of the distant galaxy cluster SMACS 0723.;4. The initial operational picture taken by the James Webb Space Telescope showed a deep field image of the distant galaxy cluster SMACS 0723.;5. The James Webb Space Telescope's first operational snapshot displayed a deep field image of the distant galaxy cluster SMACS 0723.,YES;YES;YES;YES;YES,1. The first operational image taken by the James Webb Space Telescope was not a deep field image of the distant galaxy cluster SMACS 0723.;2. A deep field image of the distant galaxy cluster SMACS 0723 was not the first operational image taken by the James Webb Space Telescope.;3. The James Webb Space Telescope did not take a deep field image of the distant galaxy cluster SMACS 0723 as its first operational image.;4. The first operational image taken by the James Webb Space Telescope was not of a distant galaxy cluster.;5. The first operational image taken by the James Webb Space Telescope was not a deep field image.,NO;NO;NO;NO;NO
3,3,3,327,TEST,Who revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Webb%27s_First_Deep_Field#:~:text=It%20was%20first%20revealed%20to%20the%20public%20during%20an%20event%20on%2011%20July%202022%20by%20U.S.%20President%20Joe%20Biden.,Joe Biden,Joseph Robinette Biden Jr,President Joe Biden,President Biden,U.S. President Joe Biden,,,,,,,"Joe Biden, the President of the United States at the time, revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.",Joseph Robinette Biden Jr revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,President Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,U.S. President Joe Biden revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House.,,,,,, President Joe Biden unveiled the first operational image taken by NASA's James Webb Space Telescope at the White House.,"1. President Joe Biden disclosed the first operational image captured by NASA's James Webb Space Telescope during a White House event.;2. At the White House, President Joe Biden shared the first operational image obtained by NASA's James Webb Space Telescope with the public.;3. The first operational image taken by NASA's James Webb Space Telescope was presented to the public by President Joe Biden at the White House.;4. President Joe Biden unveiled the first operational image from NASA's James Webb Space Telescope to the public during a White House ceremony.;5. In a White House presentation, President Joe Biden displayed the first operational image captured by NASA's James Webb Space Telescope to the public.",YES;YES;YES;YES;YES,"1. President Joe Biden did not unveil the first operational image taken by NASA's James Webb Space Telescope at the White House.;2. The first operational image taken by NASA's James Webb Space Telescope was not unveiled by President Joe Biden at the White House.;3. President Joe Biden did not reveal the first operational image taken by NASA's James Webb Space Telescope to the public at the White House.;4. The first operational image taken by NASA's James Webb Space Telescope was not revealed to the public by President Joe Biden at the White House.;5. The first operational image taken by NASA's James Webb Space Telescope was not unveiled by President Joe Biden, nor was it revealed to the public, at the White House.",NO;YES;NO;YES;NO
4,4,4,328,TEST,Who was the first elected female Governor of Massachusetts?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Maura_Healey#:~:text=the%20first%20woman%20elected%20governor%20of%20Massachusetts,Maura Healey,Maura Tracy Healey,,,,,,,,,,Maura Healey was the first elected female Governor of Massachusetts.,Maura Tracy Healey was the first elected female Governor of Massachusetts.,,,,,,,,," Jane Swift was the first elected female Governor of Massachusetts, serving from 2001 to 2003.","1. Jane Swift served as the first female Governor of Massachusetts, holding the position from 2001 to 2003.;2. The first woman to become Governor of Massachusetts was Jane Swift, who served from 2001 to 2003.;3. Massachusetts' first female Governor was Jane Swift, who served from 2001 to 2003.;4. Jane Swift, the first woman, was elected Governor of Massachusetts, serving from 2001 to 2003.;5. The position of Governor of Massachusetts was first held by a woman named Jane Swift, who served from 2001 to 2003.",YES;NO;NO;YES;NO,1. Jane Swift was not the first elected female Governor of Massachusetts.;2. There was a female Governor of Massachusetts before Jane Swift.;3. Jane Swift did not serve as the first elected female Governor of Massachusetts from 2001 to 2003.;4. The first elected female Governor of Massachusetts was not Jane Swift.;5. Jane Swift did not hold the position of the first elected female Governor of Massachusetts.,NO;NO;NO;YES;NO
5,5,5,329,TEST,On what date did Queen Elizabeth II of England die?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Death_and_state_funeral_of_Elizabeth_II#:~:text=8%C2%A0September%C2%A02022%2C%20at%2015%3A10%20(BST)%20(death),"Sep 8, 2022","September 8, 2022",8 Sep 2022,8 September 2022,09/8/2022,09-8-2022,8/09/2022,8-09-2022,2022/09/8,2022-09-8,,"Queen Elizabeth II of England died on September 8, 2022.","Queen Elizabeth II of England died on September 8, 2022, marking the end of an era for the British monarchy.","Queen Elizabeth II of England died on 8 Sep 2022, marking the end of an era for the British monarchy.","Queen Elizabeth II of England died on 8 September 2022, marking the end of an era for the British monarchy.","Queen Elizabeth II of England died on September 8, 2022.","Queen Elizabeth II of England died on September 8, 2022.",Queen Elizabeth II of England died on 8/09/2022.,Queen Elizabeth II of England died on 8-09-2022.,"Queen Elizabeth II of England died on September 8, 2022.","Queen Elizabeth II of England died on September 8, 2022."," Queen Elizabeth II of England passed away on September 8, 2022.","1. Queen Elizabeth II of England died on the 8th of September, 2022.;2. The death of Queen Elizabeth II of England occurred on September 8, 2022.;3. September 8, 2022, marked the day Queen Elizabeth II of England passed away.;4. On this day, September 8, 2022, Queen Elizabeth II of England ceased to live.;5. The passing of Queen Elizabeth II of England took place on September 8, 2022.",NO;NO;NO;NO;NO,"1. Queen Elizabeth II of England did not pass away on September 8, 2022.;2. September 8, 2022, is not the date Queen Elizabeth II of England died.;3. Queen Elizabeth II of England is alive on September 8, 2022.;4. The death of Queen Elizabeth II of England did not occur on September 8, 2022.;5. September 8, 2022, is not marked as the day Queen Elizabeth II of England died.",YES;YES;NO;YES;NO
6,6,6,330,TEST,"Who won the 2022 Nobel Prize in Chemistry from University of Copenhagen, Denmark?",before 2022,,False,one-hop,never-changing,https://www.nobelprize.org/prizes/chemistry/2022/press-release/#:~:text=Morten%20Meldal%0AUniversity%20of%20Copenhagen%2C%20Denmark,Morten Meldal,Morten Peter Meldal,Morten Peter Meldal,,,,,,,,,"Morten Meldal, from the University of Copenhagen, Denmark, won the 2022 Nobel Prize in Chemistry.","Morten Peter Meldal, from the University of Copenhagen, Denmark, won the 2022 Nobel Prize in Chemistry.","Morten Peter Meldal, from the University of Copenhagen, Denmark, won the 2022 Nobel Prize in Chemistry.",,,,,,,," The 2022 Nobel Prize in Chemistry was awarded to Ben Feringa from the University of Groningen in the Netherlands, not the University of Copenhagen in Denmark.","1. Ben Feringa, from the University of Groningen in the Netherlands, was the recipient of the 2022 Nobel Prize in Chemistry, despite the University of Copenhagen in Denmark not being the awarding institution.;2. The University of Groningen in the Netherlands, not the University of Copenhagen in Denmark, granted the 2022 Nobel Prize in Chemistry to Ben Feringa.;3. Ben Feringa, a scholar at the University of Groningen in the Netherlands, was the 2022 Nobel Prize in Chemistry laureate, contrary to the University of Copenhagen in Denmark.;4. The University of Copenhagen in Denmark did not award the 2022 Nobel Prize in Chemistry, but rather the University of Groningen in the Netherlands bestowed it upon Ben Feringa.;5. Ben Feringa, a researcher at the University of Groningen in the Netherlands, was the recipient of the 2022 Nobel Prize in Chemistry, a prize not awarded by the University of Copenhagen in Denmark.",YES;YES;NO;YES;NO,"1. The 2022 Nobel Prize in Chemistry was awarded to someone from the University of Copenhagen, Denmark, not Ben Feringa from the University of Groningen in the Netherlands.;2. Ben Feringa from the University of Groningen in the Netherlands did not receive the 2022 Nobel Prize in Chemistry from the University of Copenhagen in Denmark.;3. The University of Groningen in the Netherlands was not the institution where the 2022 Nobel Prize in Chemistry was awarded, but the University of Copenhagen in Denmark.;4. The 2022 Nobel Prize in Chemistry was not won by someone from the University of Groningen in the Netherlands, but from the University of Copenhagen in Denmark.;5. The University of Copenhagen in Denmark, not the University of Groningen in the Netherlands, was the institution that awarded the 2022 Nobel Prize in Chemistry.",NO;YES;YES;YES;YES
7,7,7,331,TEST,Who wrote the best novelette of the 2022 Hugo Awards?,before 2022,,False,one-hop,never-changing,https://lithub.com/here-are-the-winners-of-the-2022-hugo-awards/#:~:text=Best%20Novelette%3A%C2%A0%E2%80%9CBots%20of%20the%20Lost%20Ark%E2%80%9D%20by%20Suzanne%20Palmer,Suzanne Palmer,,,,,,,,,,,Suzanne Palmer wrote the best novelette of the 2022 Hugo Awards.,,,,,,,,,," The best novelette of the 2022 Hugo Awards was ""The Pauper Prince and the Eucalyptus Jinn"" by Usman T Malik.","1. The 2022 Hugo Awards' best novelette was penned by Usman T Malik, titled ""The Pauper Prince and the Eucalyptus Jinn"".;2. Usman T Malik's ""The Pauper Prince and the Eucalyptus Jinn"" was the winning novelette in the 2022 Hugo Awards.;3. The 2022 Hugo Awards recognized ""The Pauper Prince and the Eucalyptus Jinn"" by Usman T Malik as the best novelette.;4. In the 2022 Hugo Awards, Usman T Malik's ""The Pauper Prince and the Eucalyptus Jinn"" was declared the best novelette.;5. The 2022 Hugo Awards honored Usman T Malik's ""The Pauper Prince and the Eucalyptus Jinn"" as the best novelette.",YES;NO;YES;YES;YES,"1. ""The best novelette of the 2022 Hugo Awards was not 'The Pauper Prince and the Eucalyptus Jinn' by Usman T Malik."";2. ""Usman T Malik did not write the best novelette of the 2022 Hugo Awards."";3. ""The best novelette of the 2022 Hugo Awards was not written by Usman T Malik."";4. ""There was a different author who wrote the best novelette of the 2022 Hugo Awards."";5. ""The best novelette of the 2022 Hugo Awards was not 'The Pauper Prince and the Eucalyptus Jinn'.""",NO;NO;NO;NOT SURE;NO
8,8,8,332,TEST,Who was the first player to win more than one FIFA World Cup Golden Ball?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/FIFA_World_Cup_awards#:~:text=At%20the%202022%20FIFA%20World%20Cup%2C%20Lionel%20Messi%20became%20the%20first%20player%20to%20win%20a%20second%20Golden%20Ball.,Lionel Messi,,,,,,,,,,,"Lionel Messi was the first player to win more than one FIFA World Cup Golden Ball, which is awarded to the tournament's best player.",,,,,,,,,," The first player to win more than one FIFA World Cup Golden Ball was Lionel Messi, who achieved this feat in 2014 and 2022.","1. Lionel Messi became the first player to claim more than one FIFA World Cup Golden Ball, winning it in the years 2014 and 2022.;2. In 2014 and 2022, Lionel Messi made history as the first player to win the FIFA World Cup Golden Ball on more than one occasion.;3. Lionel Messi, in the years 2014 and 2022, achieved the unique feat of being the first player to win the FIFA World Cup Golden Ball more than once.;4. The FIFA World Cup Golden Ball was won by Lionel Messi in both 2014 and 2022, making him the first player to win it more than once.;5. Lionel Messi, in a remarkable achievement, won the FIFA World Cup Golden Ball twice, first in 2014 and then again in 2022, making him the first player to do so.",NO;NO;NO;NO;NO,1. Lionel Messi was not the first player to win more than one FIFA World Cup Golden Ball before 2014.;2. Lionel Messi did not win more than one FIFA World Cup Golden Ball in 2014 and 2022.;3. Another player was the first to win more than one FIFA World Cup Golden Ball before Lionel Messi.;4. Lionel Messi did not achieve the feat of winning more than one FIFA World Cup Golden Ball.;5. The first player to win more than one FIFA World Cup Golden Ball was not Lionel Messi in 2022.,NO;YES;YES;NO;YES
9,9,9,333,TEST,Who was the first player to score a goal at five FIFA Men's World Cup tournaments?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Cristiano_Ronaldo#International_career:~:text=On%2024%20November%2C%20in%20Portugal%27s%20opening%20match%20against%20Ghana%2C%20Ronaldo%20scored%20a%20penalty%20kick%20and%20became%20the%20first%20male%20player%20to%20score%20in%20five%20different%20World%20Cups.,Cristiano Ronaldo,,,,,,,,,,,"Cristiano Ronaldo was the first player to score a goal at five FIFA Men's World Cup tournaments, showcasing his exceptional talent and longevity in the sport.",,,,,,,,,," Miroslav Klose, a German striker, is the first player to score a goal at five FIFA Men's World Cup tournaments.","1. Miroslav Klose, a German forward, was the initial player to net a goal at five FIFA Men's World Cup tournaments.;2. The German striker, Miroslav Klose, was the first to score a goal in five FIFA Men's World Cup tournaments.;3. Miroslav Klose, a renowned German striker, was the pioneer to score a goal in five FIFA Men's World Cup tournaments.;4. In five FIFA Men's World Cup tournaments, Miroslav Klose, a German striker, was the first to find the back of the net.;5. Miroslav Klose, a German forward, was the inaugural player to score a goal in five editions of the FIFA Men's World Cup tournaments.",YES;YES;YES;NO;YES,"1. Miroslav Klose, a German striker, is not the first player to score a goal at five FIFA Men's World Cup tournaments.;2. Five FIFA Men's World Cup tournaments have not been scored by Miroslav Klose, a German striker.;3. A German striker named Miroslav Klose did not score a goal at five FIFA Men's World Cup tournaments.;4. There is another player who scored a goal at five FIFA Men's World Cup tournaments before Miroslav Klose, a German striker.;5. Miroslav Klose, a German striker, has not achieved the record of scoring a goal at the most FIFA Men's World Cup tournaments.",NO;YES;NO;NO;NO
